"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Field.ID","Field.name","ag10_vs_1","ag10_vs_2","ag10_vs_2_1","ag10_vs_2_2","ag10_vs_2_3","ag10_vs_2_4","ag10_vs_2_5","ag10_vs_2_6","ag10_vs_2_7","ag10_vs_2_8","ag10_vs_2_9","ag10_vs_2_50","ag10_vs_2_51","ag10_vs_2_other","ag10_vs_3","ag10_vs_3_other"
"1","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1P6K2wcxu7","2015-05-15T00:00:00Z","M3","Bende 3",2,"","","","",NA,"","","","","","","","",NA,""
"2","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-13T00:00:00Z","M1","Dankwa 1",2,"","","","",NA,"","","","","","","","",NA,""
"3","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MFMymqGXjf8","2014-12-16T00:00:00Z","M6","Greenboard",2,"","","","",NA,"","","","","","","","",NA,""
"4","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-10-02T00:00:00Z","M2","Enyoam 2",2,"","","","",NA,"","","","","","","","",NA,""
"5","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M1","Baani",1,"1 2","t","t","",NA,"","","","","","","","",1,""
"6","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z","M1","Dobonso1",2,"","","","",NA,"","","","","","","","",NA,""
"7","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","kLYaJ3DYGC7","2014-09-22T00:00:00Z","M1","Kwame Danso 1",2,"","","","",NA,"","","","","","","","",NA,""
"8","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z","M4","Efikyiri",2,"","","","",NA,"","","","","","","","",NA,""
"9","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","M3","Abrenkesi 2",2,"","","","",NA,"","","","","","","","",NA,""
"10","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z","M1","Yarm Farm",2,"","","","",NA,"","","","","","","","",NA,""
