"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Livestock.code","Animal.name","ag10a_05_1","ag10a_05_2","ag10a_05_3","ag10a_19","ag10a_20","ag10a_21","ag10a_24","ag10a_25","ag10a_26","ag10a_27","ag10a_33","ag10a_34","ag10a_vs_01","ag10a_vs_02","ag10a_vs_03","ag10a_vs_04"
"1","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-13T00:00:00Z","7","GOATS",15,NA,NA,1,2,280,1,7,0,NA,2,NA,NA,NA,NA,NA
"2","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","7","GOATS",2,NA,NA,2,NA,NA,1,1,0,NA,2,NA,NA,NA,NA,NA
"3","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","kLYaJ3DYGC7","2014-09-22T00:00:00Z","7","GOATS",18,NA,0,1,3,240,1,3,0,NA,2,NA,NA,NA,NA,NA
"4","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","10","CHICKENS",50,NA,NA,1,10,175,1,33,0,NA,2,NA,NA,NA,NA,NA
"5","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z","8","SHEEP",10,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"6","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","KaNq8vjzJV5","2014-08-19T00:00:00Z","10","CHICKENS",5,NA,NA,2,NA,NA,1,3,0,NA,2,NA,NA,NA,NA,NA
"7","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","GEgBv7HAf68","2015-02-24T00:00:00Z","10a","GUINEA FOWL",5,NA,NA,2,NA,NA,1,6,0,NA,2,NA,NA,NA,NA,NA
"8","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","dVULAjf4W89","2015-02-18T00:00:00Z","10","CHICKENS",5,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"9","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","U7thyS2zJj8","2015-04-15T00:00:00Z","10","CHICKENS",10,NA,NA,2,NA,NA,1,2,0,NA,2,NA,NA,NA,NA,NA
"10","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","e4zTqWoHTi","2015-03-10T00:00:00Z","14","DONKEYS",3,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"11","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","10","CHICKENS",16,0,NA,2,NA,NA,1,5,0,NA,2,NA,NA,NA,NA,NA
"12","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","ZsXLTqgEPA2","2015-04-27T00:00:00Z","8","SHEEP",6,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"13","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","10","CHICKENS",4,NA,NA,1,5,25,1,2,0,NA,2,NA,NA,NA,NA,NA
"14","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-13T00:00:00Z","8","SHEEP",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","sSK4YGpVFE3","2015-01-02T00:00:00Z","7","GOATS",5,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"16","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QYtwXPgNBa3","2015-04-15T00:00:00Z","10","CHICKENS",20,NA,NA,2,NA,NA,1,2,0,NA,2,NA,NA,NA,NA,NA
"17","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-11-29T00:00:00Z","10","CHICKENS",30,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rfcJhQz5u38","2014-09-02T00:00:00Z","10","CHICKENS",20,NA,NA,1,10,200,1,15,0,NA,2,NA,NA,NA,NA,NA
"19","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z","10","CHICKENS",7,NA,NA,2,NA,NA,1,2,0,NA,2,NA,NA,NA,NA,NA
"20","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","U7thyS2zJj8","2015-04-15T00:00:00Z","9","PIGS",NA,11,NA,1,4,620,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"21","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MdadqCNEiL","2014-12-31T00:00:00Z","7","GOATS",10,NA,NA,2,NA,NA,1,2,0,NA,2,NA,NA,NA,NA,NA
"22","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","3oYDbENAuo","2014-10-05T00:00:00Z","10","CHICKENS",1,NA,NA,1,6,30,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"23","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","NZwEq9cA5VB","2014-12-17T00:00:00Z","14","DONKEYS",3,NA,NA,2,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA
"24","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z","8","SHEEP",16,NA,NA,2,NA,NA,1,1,0,NA,2,NA,NA,NA,NA,NA
"25","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","4DD1mGbS2b6","2015-05-15T00:00:00Z","10","CHICKENS",10,NA,NA,2,NA,NA,1,5,0,NA,2,NA,NA,NA,NA,NA
