"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Field.ID","Season","Crop.ID","Crop.name","ag4a_01","ag4a_02","ag4a_04","ag4a_05","ag4a_05_other","ag4a_vs_5a","ag4a_vs_5a_day","ag4a_vs_5a_month","ag4a_vs_5a_year","ag4a_06","ag4a_08","ag4a_15","ag4a_15_unit","ag4a_16","ag4a_19","ag4a_21","ag4a_23"
"1","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z","M3","long_rainy","24","Yams",1,NA,2,"","","2013-11-17",17,11,2013,1,0.5,1500,NA,700,1,400,1
"2","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","C7yu9JZpZ96","2014-09-28T00:00:00Z","M4","short_rainy","24","Yams",1,NA,2,"","","2013-04-28",28,4,2013,1,6.5,1600,NA,670,2,NA,NA
"3","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wTASpGRGc38","2015-05-21T00:00:00Z","M1","long_rainy","45","Coconut",1,NA,2,"","","2015-05-21",21,5,2015,1,23,500,NA,750,2,NA,NA
"4","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","Yt9L1fZvpf5","2014-09-15T00:00:00Z","M2","long_rainy","75","Pineapple",1,NA,2,"","","2013-06-15",15,6,2013,2,NA,NA,NA,NA,NA,NA,NA
"5","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","jVAvmnH4bS6","2015-04-15T00:00:00Z","M2","long_rainy","45","Coconut",2,3,1,"other","There is no land to farm food stuffs","1982-04-15",15,4,1982,1,5,4000,NA,600,2,NA,NA
"6","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","56esinYPtWB","2014-10-03T00:00:00Z","M2","short_rainy","12","Paddy",NA,NA,NA,"","","",NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA
"7","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z","M6","long_rainy","71","Banana",1,NA,2,"","","2013-03-24",24,3,2013,2,NA,NA,NA,NA,1,60,1
"8","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z","M1","long_rainy","11","Maize",1,NA,1,"1","","2013-06-04",4,6,2013,1,1,300,NA,600,2,NA,NA
"9","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","E3EGXT3BJS5","2014-09-10T00:00:00Z","M2","short_rainy","21","Cassava",1,NA,1,"1","","2014-12-10",10,12,2014,NA,NA,NA,NA,NA,2,NA,NA
"10","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","3oYDbENAuo","2014-10-05T00:00:00Z","M1","long_rainy","24","Yams",1,NA,2,"","","2013-04-05",5,4,2013,2,NA,NA,NA,NA,2,NA,NA
"11","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1aKSCrDRMB","2015-04-27T00:00:00Z","M1","long_rainy","45","Coconut",1,NA,2,"","","2015-05-27",27,5,2015,1,24,400,NA,210,2,NA,NA
"12","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","YqAFB2BMNLB","2014-09-28T00:00:00Z","M2","long_rainy","94","Egg Plant",1,NA,2,"","","2013-04-28",28,4,2013,1,15,3000,NA,8000,2,NA,NA
"13","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","YqAFB2BMNLB","2014-09-28T00:00:00Z","M2","short_rainy","94","Egg Plant",1,NA,2,"","","2013-04-28",28,4,2013,1,1.5,2400,NA,3000,2,NA,NA
"14","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z","M3","long_rainy","94","Egg Plant",1,NA,2,"","","2013-03-25",25,3,2013,1,1,3600,NA,2400,2,NA,NA
"15","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","GLaBCfmRHT9","2014-12-15T00:00:00Z","M4","long_rainy","11","Maize",1,NA,2,"","","2014-07-15",15,7,2014,1,10,500,NA,200,2,NA,NA
"16","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4TD5PFFKHJ7","2014-09-13T00:00:00Z","M7","short_rainy","45","Coconut",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-15T00:00:00Z","M2","long_rainy","21","Cassava",NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","CxMdVRz4Fo","2014-08-21T00:00:00Z","M1","short_rainy","21","Cassava",1,NA,2,"","","2012-08-21",21,8,2012,1,1,500,NA,500,2,NA,NA
"19","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","AZbZLMWXXU5","2014-09-03T00:00:00Z","M2","long_rainy","45","Coconut",1,NA,2,"","","2012-06-10",10,6,2012,2,NA,NA,NA,NA,1,350,2
"20","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","UDYnaavH8U3","2015-02-17T00:00:00Z","M3","long_rainy","12","Paddy",1,NA,2,"","","2013-06-20",20,6,2013,1,1,0,NA,0,NA,NA,NA
"21","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6o1LRkbmmy9","2015-05-21T00:00:00Z","M1","short_rainy","45","Coconut",1,NA,2,"","","1990-05-21",21,5,1990,1,12,150,NA,225,2,NA,NA
"22","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","M2","short_rainy","71","Banana",NA,NA,NA,"","","",NA,NA,NA,1,0.5,160,NA,300,2,NA,NA
