"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Season","Crop.ID","Crop.name","ag5a_01","ag5a_02_1","ag5a_02_2","ag5a_03","ag5a_12_1","ag5a_20","ag5a_21","ag5a_21_other","ag5a_22","ag5a_24","ag5a_24_other","ag5a_25","ag5a_26"
"1","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z","long_rainy","100","Okra",1,75,NA,225,"2014-10-01",2,"","",NA,"2","",NA,NA
"2","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","C7yu9JZpZ96","2014-09-28T00:00:00Z","short_rainy","21","",2,NA,NA,NA,"",2,"","",NA,"2","",NA,NA
"3","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wTASpGRGc38","2015-05-21T00:00:00Z","long_rainy","45","Coconut",1,500,NA,750,"2014-03-01",1,"5","",1,"2","",NA,NA
"4","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","Yt9L1fZvpf5","2014-09-15T00:00:00Z","long_rainy","75","Pineapple",2,NA,NA,NA,"",2,"","",NA,"1","",NA,NA
"5","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","56esinYPtWB","2014-10-03T00:00:00Z","short_rainy","12","",NA,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"6","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z","long_rainy","11","Maize",1,70,NA,120,"2014-03-01",2,"","",NA,"2","",NA,NA
"7","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","E3EGXT3BJS5","2014-09-10T00:00:00Z","short_rainy","21","",NA,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"8","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","3oYDbENAuo","2014-10-05T00:00:00Z","long_rainy","24","Yams",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"9","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1aKSCrDRMB","2015-04-27T00:00:00Z","long_rainy","45","Coconut",1,700,NA,210,"2014-03-01",1,"5","",1,"2","",NA,NA
"10","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","YqAFB2BMNLB","2014-09-28T00:00:00Z","long_rainy","94","Egg Plant",1,3200,NA,8000,"2013-10-01",1,"2","",1,"2","",NA,NA
"11","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","YqAFB2BMNLB","2014-09-28T00:00:00Z","short_rainy","94","",1,2400,NA,3600,"2013-10-01",1,"2","",1,"2","",NA,NA
"12","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z","long_rainy","94","Egg Plant",1,3570,NA,2380,"2013-07-01",2,"","",NA,"2","",NA,NA
"13","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-15T00:00:00Z","long_rainy","21","Cassava",1,NA,NA,1620,"2013-10-01",2,"","",NA,"4","",NA,NA
"14","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","CxMdVRz4Fo","2014-08-21T00:00:00Z","short_rainy","21","",1,1400,NA,1580,"2014-01-01",2,"","",NA,"2","",NA,NA
"15","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","AZbZLMWXXU5","2014-09-03T00:00:00Z","long_rainy","45","Coconut",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"16","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","UDYnaavH8U3","2015-02-17T00:00:00Z","long_rainy","12","Paddy",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"17","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6o1LRkbmmy9","2015-05-21T00:00:00Z","short_rainy","45","",1,270,NA,405,"2014-09-01",1,"5","",1,"2","",NA,NA
"18","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","short_rainy","71","",1,160,NA,300,"2013-11-01",2,"","",NA,"1","",NA,NA
"19","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z","short_rainy","57","",2,NA,NA,NA,"",2,"","",NA,"other","Did not harvest rubber",NA,NA
"20","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","zbPhVbZ2hNA","2014-08-13T00:00:00Z","short_rainy","56","",1,350,NA,1190,"2013-12-01",2,"","",NA,"2","",NA,NA
"21","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z","short_rainy","90","",1,180,NA,120,"2014-04-01",1,"1","",1,"2","",NA,NA
"22","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","6rFDY18oMR9","2015-05-27T00:00:00Z","long_rainy","21","Cassava",2,NA,NA,NA,"",2,"","",NA,"1","",NA,NA
"23","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","wjL1nhwXLP","2014-08-27T00:00:00Z","long_rainy","76","Orange",1,1000,NA,350,"2013-07-01",1,"1","",1,"1","",NA,NA
"24","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","Ta22RrxG4KB","2014-09-10T00:00:00Z","short_rainy","21","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"25","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","reM7upJxET6","2014-09-12T00:00:00Z","long_rainy","21","Cassava",2,NA,NA,NA,"",2,"","",NA,"","",NA,NA
"26","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wGsPM221dM8","2015-03-29T00:00:00Z","short_rainy","44","",1,100,NA,100,"2014-01-01",2,"","",NA,"1","",NA,NA
"27","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","rvasPDxnwj3","2015-02-27T00:00:00Z","long_rainy","11","Maize",2,NA,NA,NA,"",1,"5b","",7,"2","",NA,NA
"28","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","pdf1PrAkhV","2015-05-15T00:00:00Z","short_rainy","45","",1,1500,NA,525,"2013-12-01",2,"","",NA,"2","",NA,NA
"29","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","eaQik5x8C35","2014-09-27T00:00:00Z","short_rainy","24","",2,NA,NA,NA,"",NA,"","",NA,"","",NA,NA
"30","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z","short_rainy","24","",2,NA,NA,NA,"",2,"","",NA,"other","Did not harvest yam",NA,NA
"31","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","WX9WPcwEjJ9","2015-03-29T00:00:00Z","short_rainy","45","",1,21000,NA,2940,"2013-12-01",2,"","",NA,"2","",NA,NA
