"","Country","Partner.Organization","longitude","latitude","Region","District","Landscape..","Household.ID","Household.head.ID","Enumerator.ID","Time.interview.start","Date.of.interview","Supervisor.ID","Questionnaire.inspection.date","Clerk.ID","Data.entry.date","fr_01","fr2_10","fr_5","ag12b_vs_09a","ag12a_vs_10","ag12a_vs_10_other","End.Time","Survey.Instrument"
"1","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","2w6GUTeKDd","nyvgKzAgGt8",NA,NA,NA,"GLjkaGjMaf6","2014-09-28","","2014-09-28T00:00:00Z",1,2,"1412094643733.jpg",1,"1","",NA,NA
"2","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","aC1Yp9Vbbb9","mTfZaNtA6S6",NA,NA,NA,"GLjkaGjMaf6","2014-12-16","Nv3qBdibWD5","2014-12-16T00:00:00Z",1,2,"1418744786161.jpg",2,"","",NA,NA
"3","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","5JcGGbr2Y88","",NA,NA,NA,"fBG8mpPu1V3","2014-10-05","jPsrT9HYaWB","2014-10-05T00:00:00Z",1,2,"1412504655649.jpg",1,"2","",NA,NA
"4","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,3,1,"L06","K7cFANftUD3","aZEDtsWVwN8",NA,NA,NA,"kNZW9z5PqgB","2014-09-07","QwBungHb3H3","2014-09-07T00:00:00Z",1,2,"1410112045515.jpg",2,"","",NA,NA
"5","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","XiQuiDjntD2","qwFximdGZA7",NA,NA,NA,"g2v4YuErG79","2014-12-29","intxmu8iSK4","2014-12-29T00:00:00Z",1,2,"1419854610760.jpg",2,"","",NA,NA
"6","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","KoKjL6iByr6","SYHg9WDrUQ6",NA,NA,NA,"d12YSFUD4x8","2015-03-02","jPsrT9HYaWB","2015-03-02T00:00:00Z",1,NA,"1425288469919.jpg",2,"","",NA,NA
"7","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,8,20,"L01","rvasPDxnwj3","cFPPtqyJCY3",NA,NA,NA,"d12YSFUD4x8","2015-02-27","jPsrT9HYaWB","2015-02-27T00:00:00Z",1,NA,"",1,"5","",NA,NA
"8","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,1,1,"L05","nMZQwMPqKU4","Tqrzb75hfs8",NA,NA,NA,"b1NCZnXapeA","2015-03-28","intxmu8iSK4","2015-03-28T00:00:00Z",1,2,"1432822985860.jpg",2,"","",NA,NA
"9","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,8,13,"L02","Ny58V5eghz7","kBpdACpKEq5",NA,NA,NA,"b1NCZnXapeA","2014-12-29","intxmu8iSK4","2014-12-29T00:00:00Z",1,2,"",2,"","",NA,NA
"10","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,2,9,"L06","reM7upJxET6","fE17rz3nCcA",NA,NA,NA,"kNZW9z5PqgB","2014-09-12","QwBungHb3H3","2014-09-12T00:00:00Z",1,2,"1410547120424.jpg",2,"","",NA,NA
"11","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,6,12,"L04","CxMdVRz4Fo","vd27J19NrD8",NA,NA,NA,"GiqrBSUhcd2","2014-08-20","intxmu8iSK4","2014-08-21T00:00:00Z",1,2,"1408635877776.jpg",2,"","",NA,NA
"12","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,7,18,"L03","C7yu9JZpZ96","fwn3wimcnZ8",NA,NA,NA,"GLjkaGjMaf6","2014-09-28","","2014-09-28T00:00:00Z",1,2,"1411896815166.jpg",2,"","",NA,NA
