"","Field.ID","Field.name","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","ag2a_vs_2b1","ag2a_vs_2b1_other","ag2a_vs_2b2_1","ag2a_vs_2c","ag2a_vs_2c_other","ag2a_vs_2d1","ag2a_04","ag2a_07","ag2a_08","ag2a_08_other","gps_coords","ag3a_02_1","ag3a_02_2","ag3a_02_2_1","ag2a_09","ag2a_vs_08a","ag2a_vs_8b","ag2a_vs_8c"
"1","M3","Bende 3","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","o1P6K2wcxu7","2015-05-15T00:00:00Z",1,NA,"21","1",NA,"21",1,1,"","","Lhf9HYfH656",5.67,NA,NA,0.504,"",NA,NA
"2","M1","Dankwa 1","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-13T00:00:00Z",1,NA,"21","1",NA,"21",2,2,"","","",20,NA,1,NA,"",NA,NA
"3","M6","Greenboard","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MFMymqGXjf8","2014-12-16T00:00:00Z",1,NA,"852","4",NA,NA,2,2,"2","","",6,1,2,NA,"",NA,NA
"4","M2","Enyoam 2","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","5G241XCT6VA","2014-10-02T00:00:00Z",1,NA,"24","1",NA,"24",2,1,"","","w8tYFXAHCGA",NA,65,1,2.1981,"",NA,NA
"5","M1","Baani","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z",1,NA,"12","4",NA,NA,6,1,"","","Sxo9o8w7hj",NA,5,1,7.2076,"",NA,NA
"6","M1","Dobonso1","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","LMzw8JsSze","2014-08-31T00:00:00Z",1,NA,"21","1",NA,"21",0,2,"other","The mountain is very steep to climb","",NA,60,1,NA,"",NA,NA
"7","M1","Kwame Danso 1","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","kLYaJ3DYGC7","2014-09-22T00:00:00Z",1,NA,"11","1",NA,"11",2,1,"","","ArayGMspoK8",1.6,NA,NA,NA,"",NA,NA
"8","M4","Efikyiri","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","oGAiiS5KTH6","2014-09-30T00:00:00Z",1,NA,"90","1",NA,"90",1,2,"1","","",NA,10,1,NA,"",NA,NA
"9","M3","Abrenkesi 2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z",1,NA,"21","1",NA,"21",0,1,"","","3sTf2tQt9e",NA,20,1,0.7,"",NA,NA
"10","M1","Yarm Farm","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","ymaHgFS7sD7","2014-09-28T00:00:00Z",1,NA,"24","1",NA,"24",1,1,"","","otEu1RgWiH2",1.5,NA,NA,2.5859,"",NA,NA
"11","M1","Konadu","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","KaNq8vjzJV5","2014-08-19T00:00:00Z",1,NA,"71","1",NA,"71",1,1,"","","Ni68QJG1PYA",NA,1,1,0.54,"",NA,NA
"12","M1","Millet","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","dVULAjf4W89","2015-02-18T00:00:00Z",1,NA,"14",NA,NA,NA,1,1,"","","gBPC5wPe329",NA,0,1,0.9,"Danka 1kn",NA,NA
"13","M4","Banshama 4","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","MdadqCNEiL","2014-12-31T00:00:00Z",1,NA,"13","4",NA,NA,2,2,"2","","",NA,35,1,NA,"",NA,NA
"14","M3","Ofusuakra 3","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","thieXHRj9r7","2014-09-09T00:00:00Z",1,NA,"24","1",NA,"11",1,1,"","","5YhM1x4cZeB",NA,NA,NA,1.2,"",NA,NA
"15","M3","Navrongo 2","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","PpJDFyaTPe6","2015-05-15T00:00:00Z",1,NA,"44","1",NA,"44",20,2,"1","","",12.96,NA,NA,NA,"",NA,NA
"16","M1","Karimenga 1","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","ZsXLTqgEPA2","2015-04-27T00:00:00Z",1,NA,"11","4",NA,NA,3,2,"1","","",5.3,NA,NA,NA,"",NA,NA
"17","M2","Kukuo 1","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z",1,NA,"43","4",NA,NA,8,2,"2","","",NA,60,1,NA,"",NA,NA
"18","M2","Dankwa 2","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","CTRQQXCQTVB","2014-09-13T00:00:00Z",1,NA,"21","1",NA,"21",3,NA,"","","",30,NA,1,NA,"",NA,NA
"19","M1","Anyeho","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","QYtwXPgNBa3","2015-04-15T00:00:00Z",1,NA,"45","1",NA,"45",8,1,"","","wSUE7Uzzwy3",1,30,1,8.3139,"Paul 1Ebon",NA,NA
"20","M1","Nkwantia 1","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","rfcJhQz5u38","2014-09-02T00:00:00Z",1,NA,"11","4",NA,NA,3,1,"","","etynAcv48c5",0.5,10,1,NA,"",NA,NA
"21","M4","Paaso 4","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","GPMVX5tyrx4","2014-09-28T00:00:00Z",1,NA,"12","1",NA,"12",2,2,"other","Flooded","",1.2,30,1,NA,"",NA,NA
"22","M1","Bayirefuom","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","1YyZC8Zyxy7","2014-09-24T00:00:00Z",1,NA,"24","1",NA,"24",1,1,"","","9ZBEKtDP7u6",1.6,NA,NA,0.5662,"",NA,NA
"23","M1","Poketi","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","U7thyS2zJj8","2015-04-15T00:00:00Z",1,NA,"45","1",NA,"45",3,1,"","","AzS1tqu8LP3",3.2,60,1,2.556,"Joseph 1Nb",NA,NA
"24","M5","Akoduo 5","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","zebc4qh1zU8","2014-08-29T00:00:00Z",1,NA,"21","1",NA,"21",0,2,"2","","",NA,20,1,NA,"",NA,NA
"25","M3","Brigadier 2","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","4xFbY5oyU82","2014-09-09T00:00:00Z",1,NA,"21","1",NA,"21",1,NA,"","","",30,NA,1,NA,"",NA,NA
"26","M1","Akyirimade 1","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","NqtNJxp3qaB","2014-08-28T00:00:00Z",1,NA,"21","1",NA,"21",1,1,"","","hC8WTqQ33L9",NA,30,1,0.2,"",NA,NA
"27","M5","Nsuduaso 2","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z",1,NA,"45","1",NA,"45",2,2,"1","","",NA,30,1,NA,"",NA,NA
"28","M3","Tintare2","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","Kte7LVWAkq7","2014-10-03T00:00:00Z",1,NA,"94","1",NA,"94",3,NA,"","","",NA,10,1,NA,"",NA,NA
