"","Field.ID","Season","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","ag3a_02_1","ag3a_02_2","ag3a_02_3","ag3a_03","ag3a_03_other","ag3a_04","ag3a_05","ag3a_06","ag3a_07","ag3a_08_1","ag3a_08_2","ag3a_09","ag3a_10","ag3a_10_other","ag3a_11","ag3a_11_other","ag3a_12","ag3a_13","ag3a_14","ag3a_14_other","ag3a_15","ag3a_16","ag3f_33_17","ag3a_18","ag3a_18b","ag3a_18b_other","ag3a_18c","ag3a_18c_other","ag3a_19","ag3a_20","ag3a_21","ag3a_22","ag3a_23","ag3a_24","ag3a_24_other","ag3a_25","ag3a_26","ag3a_27","ag3a_28","ag3a_29","ag3a_29_other","ag3a_30","ag3a_31","ag3a_32","ag3a_33","ag3a_34","ag3a_34_other","ag3a_35_1","ag3a_35_2","ag3a_61","ag3a_38_1","ag3a_38_2","ag3a_38_21","ag3a_38_3","ag3a_38_4","ag3a_38_5","ag3a_38_51","ag3a_38_6","ag3a_38_61","ag3a_38_62","ag3a_38_63","ag3a_38_64","ag3a_38_7","ag3a_38_8","ag3a_38_81","ag3a_38_9","fd33_18a_1","fd33_18a_2","fd33_18a_3","fd33_18a_4","fd33_18a_5","fd33_18a_6","fd33_18a_7","fd33_18a_8","fd35_24a_dap","fd35_24a_urea","fd35_24a_tsp","fd35_24a_can","fd35_24a_sa","fd35_24a_npk","fd35_24a_mrp","fd3b3_18a_1","fd3b3_18a_2","fd3b3_18a_3","fd3b3_18a_4","fd3b3_18a_5","fd3b3_18a_6","fd3b3_18a_7","fd3b3_18a_8","fd3b5a_24a_dap","fd3b5a_24a_urea","fd3b5a_24a_tsp","fd3b5a_24a_can","fd3b5a_24a_sa","fd3b5a_24a_npk","fd3b5a_24a_mrp"
"1","M3","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","BNLAgvK3aCA","2014-12-17T00:00:00Z",6,0.1,10.5,1,NA,NA,"24",1,2,NA,NA,2,NA,NA,NA,NA,NA,400,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,15,NA,5,NA,25,NA,NA,NA,NA,NA,1,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","M4","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","C7yu9JZpZ96","2014-09-28T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,80,2,480,NA,10,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","M1","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","wTASpGRGc38","2015-05-21T00:00:00Z",4.8,0.1,4.8,1,NA,NA,"45",1,2,NA,NA,2,NA,NA,NA,NA,NA,10000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","M2","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","Yt9L1fZvpf5","2014-09-15T00:00:00Z",0.15,0.35,2.5,1,NA,NA,"75",2,2,NA,NA,2,NA,NA,NA,NA,NA,15000,1,NA,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,8,2,80,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","M2","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-2.57799911499023,5.09250068664551,"L05","jVAvmnH4bS6","2015-04-15T00:00:00Z",1,0.1,1,1,NA,NA,"45",1,2,NA,NA,2,NA,NA,NA,NA,NA,6000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,2,2,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","M2","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","56esinYPtWB","2014-10-03T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","M6","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-1.49399948120117,6.55200004577637,"L04","gRQgL3UsPb6","2014-08-24T00:00:00Z",2,0.5,2,1,NA,NA,"71",1,2,NA,NA,2,NA,NA,NA,NA,NA,1000,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,0,0,0,0,0,6,0,62,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","M1","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","PXb5NT8y8n6","2015-02-18T00:00:00Z",4,7,25,1,NA,NA,"11",2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1,"2",NA,7,2,70,NA,10,NA,50,NA,18,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","M2","short_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.510699272155762,5.72800064086914,"L06","E3EGXT3BJS5","2014-09-10T00:00:00Z",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","M1","long_rainy","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","3oYDbENAuo","2014-10-05T00:00:00Z",0.1,0.1,9.6,1,NA,NA,"24",1,2,NA,NA,2,NA,NA,NA,NA,NA,1500,1,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2,"",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,57,NA,700,NA,14,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
