"","Country","Partner.Organization","longitude","latitude","Landscape..","Household.ID","Data.entry.date","Field.ID","Season","Individual.ID","ag3a_70_preparing","ag3a_70_weeding","ag3a_70_fertilizing","ag3a_70_harvesting"
"1","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","Xg5bY5Ztxx2","2015-02-17T00:00:00Z","M1","long_rainy","zdNvWzWAdS9",5,NA,3,21
"2","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","Xg5bY5Ztxx2","2015-02-17T00:00:00Z","M2","long_rainy","FPjJXgVWMK5",3,NA,NA,3
"3","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","Xg5bY5Ztxx2","2015-02-17T00:00:00Z","M2","long_rainy","zdNvWzWAdS9",3,NA,NA,3
"4","GHA","Ghana Council for Scientific and Industrial Research",-0.834999084472656,10.5590000152588,"L01","Xg5bY5Ztxx2","2015-02-17T00:00:00Z","M2","long_rainy","KMLn1EXR9F4",3,NA,NA,3
"5","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M1","long_rainy","iMhZcrhqqE4",5,NA,2,40
"6","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M1","long_rainy","TTvr65bJDP9",NA,NA,NA,NA
"7","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M2","long_rainy","Wsgw9bZmVr7",NA,NA,NA,NA
"8","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M3","long_rainy","YKN3KfbxRk7",NA,NA,NA,NA
"9","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M4","long_rainy","TTvr65bJDP9",NA,NA,NA,9
"10","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M5","long_rainy","iMhZcrhqqE4",1,9,NA,4
"11","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M5","long_rainy","oqpZ8r1RxPB",NA,NA,NA,NA
"12","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M5","long_rainy","4eUTW18wfC2",NA,NA,NA,4
"13","GHA","Ghana Council for Scientific and Industrial Research",-0.854499816894531,9.90400123596191,"L02","d4TMBLeBJr2","2014-12-29T00:00:00Z","M5","long_rainy","HkYaGNTvmf9",NA,NA,NA,4
"14","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","long_rainy","GwPa1cX7GJ3",24,2,NA,5
"15","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","long_rainy","g7FXo6VwHPA",NA,NA,NA,NA
"16","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","long_rainy","D5Y2duRgYM7",NA,NA,NA,NA
"17","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","long_rainy","Spjn9mV9Dp",NA,NA,NA,NA
"18","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","long_rainy","UFeRECuDhV4",NA,NA,NA,NA
"19","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","short_rainy","kxpkrMBXLS3",NA,NA,NA,NA
"20","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","short_rainy","g7FXo6VwHPA",NA,NA,NA,NA
"21","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","short_rainy","gQcedvbJ4k",NA,NA,NA,10
"22","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","short_rainy","Spjn9mV9Dp",NA,NA,NA,NA
"23","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M1","short_rainy","UFeRECuDhV4",NA,NA,NA,NA
"24","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M2","long_rainy","y8ksZDnevw9",NA,NA,NA,NA
"25","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M2","long_rainy","D5Y2duRgYM7",NA,NA,NA,NA
"26","GHA","Ghana Council for Scientific and Industrial Research",-0.880999565124512,7.70899963378906,"L03","wtorB9F7hm5","2014-10-04T00:00:00Z","M2","long_rainy","Spjn9mV9Dp",NA,NA,NA,NA
