Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2015-01-14T00:00:00Z,6,FEMALE CALVES,18,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,1,BULLS,4,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",tQBVYhTSUx5,2014-10-06T00:00:00Z,3,STEERS,2,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",9WWgnSHHAA6,2014-12-18T00:00:00Z,3,STEERS,4,0,,2,,,2,,,,1,20000.0,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",sAJq9uruKa3,2014-08-11T00:00:00Z,1,BULLS,1,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",An4VyekaKi6,2015-08-10T00:00:00Z,10,CHICKENS,4,0,,1,2,8000.0,1,1,0,,2,,0,3,6,9
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,2,COWS,17,0,0,1,1,240000.0,1,1,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",eBi2TWWBfPA,2015-08-11T00:00:00Z,2,COWS,2,0,0,2,,,2,,,,2,,0,4,5,9
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",wtdrsEsEBX2,2014-09-28T00:00:00Z,6,FEMALE CALVES,2,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2015-01-14T00:00:00Z,2,COWS,80,0,0,1,25,10000000.0,1,1,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",mZbBzdZE8P5,2014-10-07T00:00:00Z,10,CHICKENS,5,0,,1,2,16000.0,1,2,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ktUuHHCU1Q5,2015-08-05T00:00:00Z,10,CHICKENS,16,0,,2,,,2,,,,2,,0,0,8,8
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",SUdaBvN6yMB,2014-08-12T00:00:00Z,2,COWS,2,0,0,2,,,1,1,1,420000.0,2,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ERzfUDJvVr5,2015-08-30T00:00:00Z,10,CHICKENS,12,0,,2,,,1,4,0,,2,,0,0,0,0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",yLS96zjnvX6,2014-12-18T00:00:00Z,11,DUCKS,5,,,2,,,1,4,0,,1,5000.0,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",51brKTHzvAB,2015-08-11T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,3,0,0,0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",JbsDyyJEsp2,2015-01-14T00:00:00Z,15,Dogs,8,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RfzDYcp8cy2,2015-08-10T00:00:00Z,7,GOATS,3,,0,1,3,140000.0,2,,,,2,,0,5,5,7
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",8RDtceCXmi7,2014-12-09T00:00:00Z,1,BULLS,1,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",yLS96zjnvX6,2014-12-18T00:00:00Z,9,PIGS,,1,,1,2,300000.0,2,,,,1,5000.0,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ayZb55CgmK4,2014-08-14T00:00:00Z,3,STEERS,2,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ayZb55CgmK4,2014-08-14T00:00:00Z,14,DONKEYS,1,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",kqzsJGqsJH5,2015-08-31T00:00:00Z,3,STEERS,4,0,,2,,,2,,,,2,,1,7,8,10
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ZC9BxGQiLT8,2015-08-31T00:00:00Z,15,Dogs,1,,,2,,,2,,,,2,,0,0,0,0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2014-10-04T00:00:00Z,5,MALE CALVES,122,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",fKYGZhSCHi5,2014-08-12T00:00:00Z,15,Dogs,10,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",fss8vTYFEz2,2015-09-13T00:00:00Z,10,CHICKENS,26,0,,2,,,1,10,0,,2,,0,0,0,0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",51brKTHzvAB,2015-08-11T00:00:00Z,11,DUCKS,3,,,2,,,2,,,,2,,0,0,6,9
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",fxSB64jdaSA,2015-08-08T00:00:00Z,10,CHICKENS,20,0,,1,3,18000.0,1,4,0,,2,,0,4,7,9
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",HWkzcSXQNG2,2014-08-12T00:00:00Z,5,MALE CALVES,1,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",5R7zjWiS4o,2014-12-24T00:00:00Z,1,BULLS,1,0,0,1,1,100000.0,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",j18hwWBcwh5,2014-12-24T00:00:00Z,7,GOATS,4,,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2015-01-14T00:00:00Z,7,GOATS,30,,0,1,100,3000000.0,1,15,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2015-01-14T00:00:00Z,6,FEMALE CALVES,13,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",mZbBzdZE8P5,2014-10-07T00:00:00Z,2,COWS,15,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",JbsDyyJEsp2,2015-01-14T00:00:00Z,6,FEMALE CALVES,9,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",x3YWH9QUug,2014-12-10T00:00:00Z,2,COWS,3,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,5,MALE CALVES,11,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",Br9y98ZGdk8,2014-08-13T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",Rmvq4s33Ev8,2014-08-12T00:00:00Z,10,CHICKENS,3,0,,2,,,1,5,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",wtdrsEsEBX2,2014-09-28T00:00:00Z,10,CHICKENS,7,0,,2,,,1,5,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",bbQXrXaEo96,2014-08-13T00:00:00Z,10,CHICKENS,7,0,,2,,,1,2,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZAXs3MY83J,2014-08-13T00:00:00Z,10,CHICKENS,10,0,,2,,,1,4,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",LwsCZHjGPqA,2014-09-13T00:00:00Z,1,BULLS,4,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",jiVQaMk2ZR,2014-08-11T00:00:00Z,15,Dogs,6,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,14,DONKEYS,2,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2014-09-30T00:00:00Z,5,MALE CALVES,7,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",kqzsJGqsJH5,2015-08-31T00:00:00Z,9,PIGS,,3,,2,,,2,,,,2,,0,5,4,0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",JADsmRVzNUA,2015-08-04T00:00:00Z,9,PIGS,,1,,1,1,90000.0,2,,,,2,,,7,8,5
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",gpPmZSQZXY5,2014-08-11T00:00:00Z,10,CHICKENS,30,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",XaYWTVN67N4,2014-12-28T00:00:00Z,6,FEMALE CALVES,12,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",7GEs4txMBL9,2014-08-14T00:00:00Z,9,PIGS,,1,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",yLS96zjnvX6,2014-12-18T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",G8pqkT9RvZB,2015-01-15T00:00:00Z,1,BULLS,4,0,0,1,3,1800000.0,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",yhsx6xFzAD,2014-08-13T00:00:00Z,9,PIGS,,1,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",Qapm2uWHFt5,2015-09-09T00:00:00Z,10,CHICKENS,31,0,,1,10,70000.0,1,5,0,,2,,0,0,0,0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KkYJfxvuWf6,2014-12-24T00:00:00Z,3,STEERS,1,0,,1,1,300000.0,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Qrakmh9TAb7,2015-01-14T00:00:00Z,15,Dogs,5,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",vCAfAwy9KTA,2014-12-09T00:00:00Z,15,Dogs,3,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2014-09-30T00:00:00Z,8,SHEEP,15,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",mWbvKsGPM14,2014-08-12T00:00:00Z,10,CHICKENS,40,0,,1,5,44000.0,1,11,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",aFuKnt435e8,2014-08-12T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,2,COWS,20,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",RbeUER44T9B,2014-09-28T00:00:00Z,8,SHEEP,19,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",kDWcVHqaaf2,2014-08-11T00:00:00Z,10,CHICKENS,30,0,,2,,,1,15,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",eBi2TWWBfPA,2015-08-11T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,1,0,0,0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ayZb55CgmK4,2014-08-14T00:00:00Z,8,SHEEP,7,,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",kqzsJGqsJH5,2015-08-31T00:00:00Z,7,GOATS,15,,0,2,,,2,,,,2,,1,7,8,10
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",utcTs5LcPQ7,2014-12-10T00:00:00Z,10,CHICKENS,10,0,,2,,,1,2,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",84Tt3igkks,2015-08-04T00:00:00Z,10,CHICKENS,20,0,,2,,,2,,,,2,,0,6,7,9
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ZC9BxGQiLT8,2015-08-31T00:00:00Z,7,GOATS,1,,0,2,,,2,,,,2,,1,3,3,10
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",Gc14tmsJ7A3,2014-08-12T00:00:00Z,10,CHICKENS,10,0,,1,4,40000.0,1,4,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",Nt5ok1nPNM7,2014-12-18T00:00:00Z,1,BULLS,4,0,0,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ayZb55CgmK4,2014-08-13T00:00:00Z,7,GOATS,10,,0,1,5,150000.0,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KYf3aU1imH5,2014-12-23T00:00:00Z,7,GOATS,4,,138,1,3,138000.0,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",WjvUqZyb157,2015-09-13T00:00:00Z,2,COWS,0,1,0,2,,,2,,,,2,,0,9,1,0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",utcTs5LcPQ7,2014-12-10T00:00:00Z,6,FEMALE CALVES,4,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",wXNS3oTZiX8,2014-08-12T00:00:00Z,10,CHICKENS,9,0,,2,,,1,3,0,,2,,,,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",7GEs4txMBL9,2014-08-14T00:00:00Z,10,CHICKENS,1,0,,2,,,2,,,,2,,,,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2015-01-14T00:00:00Z,3,STEERS,10,0,,1,6,4200000.0,1,1,0,,2,,,,,
