Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Livestock code,Animal name,ag10a_05_1,ag10a_05_2,ag10a_05_3,ag10a_19,ag10a_20,ag10a_21,ag10a_24,ag10a_25,ag10a_26,ag10a_27,ag10a_33,ag10a_34,ag10a_vs_01,ag10a_vs_02,ag10a_vs_03,ag10a_vs_04
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",nf2b6XaXDy3,2016-01-20T00:00:00Z,7,GOATS,3,,0,1,1,40000.0,2,,,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",RnembMKrW72,2015-08-13T00:00:00Z,15,Dogs,4,,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",EQUQxBxxA28,2016-07-25T00:00:00Z,8,Sheep,1,,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",fvoTDbKYuW5,2015-10-07T00:00:00Z,9,PIGS,,1,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",Gr3yWAqnod7,2016-01-14T00:00:00Z,15,Dogs,2,,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",nG6geyTvwq7,2015-09-05T00:00:00Z,7,GOATS,2,,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",GwMi53segV4,2015-10-20T00:00:00Z,10,CHICKENS,10,0,,1,2,12000.0,1,3,0,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",EQUQxBxxA28,2016-07-25T00:00:00Z,7,Goats,8,,0,1,1,40000.0,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",5a2WfRTPWS2,2016-01-13T00:00:00Z,7,GOATS,2,,0,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",CLcgNTsm4y7,2015-10-08T00:00:00Z,11,DUCKS,1,,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",1YCu7s1wQ37,2015-11-23T00:00:00Z,2,COWS,1,0,0,2,,,2,,,,2,,3,7,0,0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",E9xodbJqWb8,2016-02-08T00:00:00Z,10,CHICKENS,9,0,,2,,,2,,,,2,,0,0,0,0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",fYfZbzp5Nv8,2016-01-07T00:00:00Z,2,COWS,2,0,0,1,1,800000.0,2,,,,2,,0,8,0,2
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",RnembMKrW72,2015-08-13T00:00:00Z,7,GOATS,2,,,2,,,1,1,0,,2,,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",iLvTEBAQTN6,2016-04-08T00:00:00Z,5,MALE CALVES,1,0,,2,,,2,,,,2,,0,0,0,10
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",mpqcPSFDpCB,2016-02-03T00:00:00Z,10,CHICKENS,10,0,,2,,,1,0,0,,2,,0,0,0,0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",r8r378XZhzA,2015-08-10T00:00:00Z,2,COWS,1,0,0,2,,,2,,,,2,,0,2,0,8
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",6L8XQ2ivNNB,2016-02-01T00:00:00Z,10,CHICKENS,12,0,,2,,,2,,,,2,,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",uZWP16YfzT5,2016-01-05T00:00:00Z,2,COWS,0,0,1,2,,,2,,,,2,,2,8,0,0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",SDoi2yLPd6,2015-10-15T00:00:00Z,10,CHICKENS,20,0,,2,,,1,3,0,,2,,0,0,0,10
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",3eWkuw2PPtA,2015-10-09T00:00:00Z,8,SHEEP,4,,,2,,,2,,,,2,,0,2,0,8
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",hyWdWQ552X7,2016-07-26T00:00:00Z,10,Chickens,3,0,,2,,,2,,,,2,,0,0,0,10
