Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Item code,ag10b_01,ag10b_1a,ag10b_1a_unit,ag10b_1b,ag10b_05_1,ag10b_05_2,ag10b_06
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",tuxCwfbZQN9,2016-08-16T00:00:00Z,9,Manure,250.0,2,3000.0,0.0,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",m6KCw7ZxQ47,2015-10-22T00:00:00Z,9,Manure,1200.0,2,30000.0,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",FtidgPbhow5,2016-04-20T00:00:00Z,9,Manure,200.0,2,1500.0,0.0,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",WuExMq5R6A9,2016-05-19T00:00:00Z,1,Cow Milk (Traditional),180.0,1,18000.0,100.0,1,10000.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",Xcq8cPDrtJA,2016-01-19T00:00:00Z,1,Cow Milk (Traditional),30.0,1,4500.0,0.0,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",gtdvY5R76A5,2016-01-27T00:00:00Z,9,Manure,1200.0,2,15000.0,800.0,2,10000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",tU6yMt3dHA3,2016-08-09T00:00:00Z,3,Chicken Eggs (Traditional),30.0,3,2100.0,20.0,3,1400.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",2AzeKX3Xdj9,2015-12-11T00:00:00Z,1,Cow Milk (Traditional),420.0,1,84000.0,0.0,,0.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",DEfS8gcomk3,2016-02-29T00:00:00Z,9,Manure,800.0,2,10000.0,0.0,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",EJpjhf8ixG7,2016-02-13T00:00:00Z,9,Manure,900.0,2,14000.0,0.0,2,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",yjXM15j8fo9,2016-12-10T00:00:00Z,1,Cow Milk (Traditional),70.0,1,14000.0,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",vC1xGx4WFW,2016-08-12T00:00:00Z,9,Manure,6000.0,1,90000.0,0.0,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",9s7aPD8ZRh7,2016-08-19T00:00:00Z,9,Manure,6000.0,2,30000.0,0.0,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",yaHQ7ni6ar4,2016-10-13T00:00:00Z,1,Cow Milk (Traditional),200.0,1,40000.0,150.0,1,30000.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",9upFZJLCfM2,2016-01-12T00:00:00Z,9,Manure,7200.0,2,144000.0,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",R9DTr4peJNA,2015-11-04T00:00:00Z,4,Chicken Eggs (Improved),30.0,3,2550.0,20.0,3,1700.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",aDnodjimek6,2016-12-09T00:00:00Z,9,Manure,1000.0,1,50000.0,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",EhXFcHgzLr8,2016-08-23T00:00:00Z,3,Chicken Eggs (Traditional),20.0,3,1000.0,0.0,3,0.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",EhXFcHgzLr8,2016-08-23T00:00:00Z,1,Cow Milk (Traditional),60.0,1,12000.0,0.0,1,0.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",jDuNCdZs246,2016-02-09T00:00:00Z,3,Chicken Eggs (Traditional),30.0,3,2100.0,900.0,2,15000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",nny1kAHD1A6,2015-10-08T00:00:00Z,1,Cow Milk (Traditional),720.0,1,144000.0,480.0,1,96000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",j3meptUjcsA,2016-08-19T00:00:00Z,3,Chicken Eggs (Traditional),10.0,3,800.0,0.0,3,0.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",NqznyHy6N16,2016-08-10T00:00:00Z,9,Manure,200.0,2,3000.0,0.0,2,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",vdieyWj8obA,2015-11-07T00:00:00Z,9,Manure,900.0,2,18000.0,0.0,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",CxdDadFVXS7,2016-10-21T00:00:00Z,3,Chicken Eggs (Traditional),40.0,3,4000.0,30.0,3,3000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",e3YsHqYkYK6,2015-10-08T00:00:00Z,9,Manure,600.0,2,9000.0,0.0,,0.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",DybB4C7m1V6,2016-07-22T00:00:00Z,9,Manure,300.0,2,4000.0,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",nkZFomM6JN2,2016-08-11T00:00:00Z,3,Chicken Eggs (Traditional),10.0,3,700.0,0.0,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",8DoKMFq9rv7,2015-12-14T00:00:00Z,9,Manure,1500.0,2,15000.0,0.0,,0.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",seXpFZmj3a,2016-01-23T00:00:00Z,9,Manure,15000.0,2,30000.0,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",hXCHXcG2W46,2016-02-01T00:00:00Z,1,Cow Milk (Traditional),540.0,1,1620.0,54.0,1,8100.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",6VtbLtrb1D3,2016-01-25T00:00:00Z,2,Cow Milk (Improved),300.0,1,30000.0,150.0,1,15000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",XZQvXo5qT34,2015-10-10T00:00:00Z,9,Manure,1200.0,2,18000.0,200.0,2,3000.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",Nq4M7PWJPS,2015-12-04T00:00:00Z,9,Manure,1000.0,1,100000.0,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",WuExMq5R6A9,2016-05-19T00:00:00Z,9,Manure,4000.0,2,50000.0,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",YVG8nKF7bC4,2015-12-05T00:00:00Z,3,Chicken Eggs (Traditional),50.0,3,3500.0,50.0,3,3500.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",WVpeXYVGNq8,2016-08-15T00:00:00Z,1,Cow Milk (Traditional),90.0,1,13500.0,80.0,1,12000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",QLDaeeq1A6A,2015-11-06T00:00:00Z,7,Honey,8.0,2,16000.0,4.0,2,8000.0
