Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Item code,ag10b_01,ag10b_1a,ag10b_1a_unit,ag10b_1b,ag10b_05_1,ag10b_05_2,ag10b_06
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",X9YiaEDanB7,2015-08-08T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,10000.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",2tg6ar7zuS5,2015-09-13T00:00:00Z,3,Chicken Eggs (Traditional),90.0,3,27000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,1,Cow Milk (Traditional),900.0,1,720000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",tQBVYhTSUx5,2014-10-06T00:00:00Z,3,Chicken Eggs (Traditional),288.0,3,57600.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",9WWgnSHHAA6,2014-12-18T00:00:00Z,3,Chicken Eggs (Traditional),62.0,3,12400.0,10.0,3,2000.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",sAJq9uruKa3,2014-08-11T00:00:00Z,1,Cow Milk (Traditional),240.0,1,240000.0,120.0,1,120000.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,3,Chicken Eggs (Traditional),240.0,3,72000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",hfEUg9n1AW4,2014-12-28T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2015-01-14T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",kRcrpHwnrk4,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),40.0,3,10000.0,30.0,3,7500.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",An4VyekaKi6,2015-08-10T00:00:00Z,3,Chicken Eggs (Traditional),96.0,3,19200.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",Q6XjbVrPyy9,2015-09-09T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",8RDtceCXmi7,2014-12-09T00:00:00Z,3,Chicken Eggs (Traditional),60.0,3,120000.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",RbeUER44T9B,2014-09-28T00:00:00Z,3,Chicken Eggs (Traditional),140.0,3,42000.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",CnNmmWuhuE4,2015-08-29T00:00:00Z,3,Chicken Eggs (Traditional),30.0,3,9000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",vCAfAwy9KTA,2014-12-24T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ayZb55CgmK4,2014-08-14T00:00:00Z,1,Cow Milk (Traditional),1440.0,1,2160000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",JbsDyyJEsp2,2015-01-14T00:00:00Z,5,Ghee/Butter,200.0,1,400000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",HWkzcSXQNG2,2014-08-12T00:00:00Z,8,Skins and Hides,3.0,3,12000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",5R7zjWiS4o,2014-12-24T00:00:00Z,1,Cow Milk (Traditional),100.0,1,80000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",MqCGGaKzuz2,2014-08-11T00:00:00Z,3,Chicken Eggs (Traditional),30.0,3,12000.0,20.0,3,8000.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2014-09-30T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ktUuHHCU1Q5,2015-08-05T00:00:00Z,1,Cow Milk (Traditional),480.0,1,480000.0,144.0,1,144000.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",mZbBzdZE8P5,2014-10-07T00:00:00Z,9,Manure,500.0,2,100000.0,0.0,2,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",JbsDyyJEsp2,2015-01-14T00:00:00Z,9,Manure,1800.0,2,100000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,8,Skins and Hides,3.0,3,30000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZAXs3MY83J,2014-08-13T00:00:00Z,3,Chicken Eggs (Traditional),42.0,3,84000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",HWkzcSXQNG2,2014-08-12T00:00:00Z,1,Cow Milk (Traditional),36.0,1,36000.0,26.0,1,260000.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",LwsCZHjGPqA,2014-09-13T00:00:00Z,1,Cow Milk (Traditional),360.0,1,216000.0,180.0,1,108000.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",UGrmX3B1xb7,2015-08-30T00:00:00Z,3,Chicken Eggs (Traditional),300.0,3,90000.0,100.0,3,30000.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ZSL3mumZ4X8,2014-08-12T00:00:00Z,9,Manure,30.0,2,70000.0,30.0,2,70000.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",GV2SBh2drm7,2014-08-11T00:00:00Z,3,Chicken Eggs (Traditional),180.0,3,54000.0,55.0,3,16000.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",gpPmZSQZXY5,2014-08-11T00:00:00Z,3,Chicken Eggs (Traditional),164.0,3,49200.0,164.0,3,49200.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",7GEs4txMBL9,2014-08-14T00:00:00Z,3,Chicken Eggs (Traditional),10.0,3,3000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",9uri5wypzL4,2015-12-09T00:00:00Z,3,Chicken Eggs (Traditional),50.0,3,15000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",fss8vTYFEz2,2015-09-13T00:00:00Z,3,Chicken Eggs (Traditional),120.0,3,36000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RTnL3zMj6T,2015-08-10T00:00:00Z,3,Chicken Eggs (Traditional),75.0,3,23000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",G8pqkT9RvZB,2015-01-15T00:00:00Z,1,Cow Milk (Traditional),400.0,1,320000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KkYJfxvuWf6,2014-12-24T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",fKYGZhSCHi5,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),200.0,3,60000.0,150.0,3,45000.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",fMF9APviXm9,2015-08-11T00:00:00Z,3,Chicken Eggs (Traditional),42.0,3,12600.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ERzfUDJvVr5,2015-08-30T00:00:00Z,3,Chicken Eggs (Traditional),50.0,3,15000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2015-01-14T00:00:00Z,1,Cow Milk (Traditional),500.0,1,400000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",mWbvKsGPM14,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,50.0,3,15000.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,3,Chicken Eggs (Traditional),200.0,3,60000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",Br9y98ZGdk8,2014-08-13T00:00:00Z,1,Cow Milk (Traditional),120.0,1,72000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",w7mhEiauzv4,2015-08-08T00:00:00Z,3,Chicken Eggs (Traditional),30.0,3,9000.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",Gc14tmsJ7A3,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),30.0,3,7500.0,21.0,3,5250.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",JbsDyyJEsp2,2015-01-14T00:00:00Z,8,Skins and Hides,3.0,3,5000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",i2ZRSY65p48,2015-08-10T00:00:00Z,3,Chicken Eggs (Traditional),50.0,3,15000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",Nt5ok1nPNM7,2014-12-18T00:00:00Z,3,Chicken Eggs (Traditional),240.0,3,48000.0,20.0,3,4000.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ayZb55CgmK4,2014-08-13T00:00:00Z,3,Chicken Eggs (Traditional),120.0,3,24000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",wXNS3oTZiX8,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),30.0,3,7500.0,20.0,3,5000.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",SGWnjCX1hJ3,2014-08-12T00:00:00Z,9,Manure,500.0,2,5000.0,500.0,2,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",9WWgnSHHAA6,2014-12-18T00:00:00Z,9,Manure,2000.0,2,30000.0,0.0,2,0.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ywS4MJJe4cB,2015-08-05T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,20000.0,50.0,3,4000.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",Xwug52WXRu6,2015-08-11T00:00:00Z,3,Chicken Eggs (Traditional),15.0,3,4500.0,0.0,3,0.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",6auvr3dPvX4,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),16.0,3,4800.0,,,4800.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",Goj6tydZtp2,2014-12-27T00:00:00Z,3,Chicken Eggs (Traditional),300.0,3,90000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",ziHZfbph8gA,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),40.0,3,20000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,9,Manure,3600.0,2,60000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",XaYWTVN67N4,2014-12-28T00:00:00Z,3,Chicken Eggs (Traditional),160.0,3,48000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",x3YWH9QUug,2014-12-10T00:00:00Z,1,Cow Milk (Traditional),240.0,1,240000.0,0.0,1,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2014-10-04T00:00:00Z,3,Chicken Eggs (Traditional),90.0,3,27000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",eBi2TWWBfPA,2015-08-11T00:00:00Z,3,Chicken Eggs (Traditional),50.0,,20000.0,0.0,3,12000.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",41YTq8opiW8,2014-12-24T00:00:00Z,3,Chicken Eggs (Traditional),60.0,3,18000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",kqzsJGqsJH5,2015-08-31T00:00:00Z,3,Chicken Eggs (Traditional),200.0,3,60000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",N5cedWi9F35,2014-12-18T00:00:00Z,1,Cow Milk (Traditional),1690.0,1,1008000.0,672.0,1,403200.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",SGWnjCX1hJ3,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),60.0,3,18000.0,20.0,3,6000.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",LmNxHx7ukq2,2014-08-13T00:00:00Z,3,Chicken Eggs (Traditional),16.0,3,32000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",ZbDwCBkG2A5,2014-10-03T00:00:00Z,9,Manure,2000.0,2,350000.0,0.0,2,0.0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",EnufChhcvN6,2015-01-14T00:00:00Z,3,Chicken Eggs (Traditional),100.0,3,30000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",6NYkNXf4fW6,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),50.0,3,15000.0,16.0,3,10200.0
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",gUGmee9jeJA,2015-08-30T00:00:00Z,3,Chicken Eggs (Traditional),40.0,3,12000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",BVUEfqZQ6KA,2015-09-09T00:00:00Z,3,Chicken Eggs (Traditional),200.0,3,60000.0,0.0,,0.0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",SUdaBvN6yMB,2014-08-12T00:00:00Z,3,Chicken Eggs (Traditional),80.0,3,24000.0,0.0,3,0.0
