Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,source_id,source_name,sourceid,ag12a_02_1,ag12a_02_2,ag12a_02_3,ag12a_02_4,ag12a_02_5,ag12a_02_6,ag12a_03,ag12a_04,ag12a_05
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",CTRQQXCQTVB,2014-09-13T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,,,,,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",ignYVcEWdh6,2014-09-27T00:00:00Z,2,NGO,,1,1,1,1,1,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",kLYaJ3DYGC7,2014-09-22T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,1,2,1,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",XEA6aofdZo5,2015-03-29T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,1,1,2,2,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",QNH5zfmLt2B,2014-09-09T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,2,2,2,2,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",thieXHRj9r7,2014-09-09T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,,1,2,1,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",4TD5PFFKHJ7,2014-09-13T00:00:00Z,2,NGO,,,,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",ymaHgFS7sD7,2014-09-28T00:00:00Z,2,NGO,,1,1,1,,1,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",dVULAjf4W89,2015-02-18T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,1,1,2,1,,1,2,
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",NZwEq9cA5VB,2014-12-17T00:00:00Z,1,MINISTRY OF FOOD & AGRICULTURE (MOFA),,1,1,1,2,1,,1,2,
