Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M3,Bende 3,GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",o1P6K2wcxu7,2015-05-15T00:00:00Z,1,,21,1,,21,1,1,,,Lhf9HYfH656,5.67,,,0.504,,,
M1,Dankwa 1,GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",CTRQQXCQTVB,2014-09-13T00:00:00Z,1,,21,1,,21,2,2,,,,20.0,,1,,,,
M6,Greenboard,GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",MFMymqGXjf8,2014-12-16T00:00:00Z,1,,852,4,,,2,2,2,,,6.0,1.0,2,,,,
M2,Enyoam 2,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",5G241XCT6VA,2014-10-02T00:00:00Z,1,,24,1,,24,2,1,,,w8tYFXAHCGA,,65.0,1,2.1981,,,
M1,Baani,GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",d4TMBLeBJr2,2014-12-29T00:00:00Z,1,,12,4,,,6,1,,,Sxo9o8w7hj,,5.0,1,7.2076,,,
M1,Dobonso1,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",LMzw8JsSze,2014-08-31T00:00:00Z,1,,21,1,,21,0,2,other,The mountain is very steep to climb,,,60.0,1,,,,
M1,Kwame Danso 1,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",kLYaJ3DYGC7,2014-09-22T00:00:00Z,1,,11,1,,11,2,1,,,ArayGMspoK8,1.6,,,,,,
M4,Efikyiri,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",oGAiiS5KTH6,2014-09-30T00:00:00Z,1,,90,1,,90,1,2,1,,,,10.0,1,,,,
M3,Abrenkesi 2,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",gRQgL3UsPb6,2014-08-24T00:00:00Z,1,,21,1,,21,0,1,,,3sTf2tQt9e,,20.0,1,0.7,,,
M1,Yarm Farm,GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",ymaHgFS7sD7,2014-09-28T00:00:00Z,1,,24,1,,24,1,1,,,otEu1RgWiH2,1.5,,,2.5859,,,
M1,Konadu,GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",KaNq8vjzJV5,2014-08-19T00:00:00Z,1,,71,1,,71,1,1,,,Ni68QJG1PYA,,1.0,1,0.54,,,
