Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M4,SORGHUM 2,RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",5s4t5icCN2,2016-07-16T00:00:00Z,1,,13,4,,,7,2,1,,,2.5,,,,,,
M2,BEANS,RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",6VtbLtrb1D3,2016-01-25T00:00:00Z,1,,11,1,,23,0,1,,,XsbNpE5cri6,0.02,,,0.529,,,
M3,TEA,RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",GBGa6M3rbd3,2016-11-18T00:00:00Z,1,,55,1,,55,0,1,,,QWW4gaefZu9,0.05,,,0.377,,,
M4,PYRETHRUM,RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",z7c7QHaTTe7,2016-05-27T00:00:00Z,1,,52,1,,52,0,1,,,qSQ8vpcb967,0.08,,,0.2175,M4-L02-008-02,,
M1,BEANS,RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",Tt5k1X1aefA,2016-07-15T00:00:00Z,1,,11,1,,31,0,1,,,iRTX2g5Xy6,0.0,,,0.1999,M1-L03-003-01,,
M2,BEANS,RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",kwtgXoW7Ei8,2016-07-20T00:00:00Z,1,,31,1,,23,0,1,,,BAZfFPTrMD9,0.01,,,0.3114,M2-L03-004-01,,
M2,IRISH,RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",iGeYWScB9G8,2016-04-26T00:00:00Z,1,,23,1,,23,0,1,,,TKDkFBhbdb2,0.16,,,0.0575,M2-L02-004-03,,
M3,BEANS,RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",2AzeKX3Xdj9,2015-12-11T00:00:00Z,1,,31,1,,31,0,1,,,hEZ9BZVQ4CA,0.005,,,0.0483,,,
M3,COFFEE,RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",NpVRwZSF9A9,2016-05-16T00:00:00Z,1,,54,1,,54,0,1,,,ba8evryenG5,0.02,,,0.1678,M3-L06-010-03,,
M2,I.POTATO,RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",TSZ8yp6UEy4,2016-04-19T00:00:00Z,1,,35,1,,11,0,2,1,,,1.0,,,,,,
M1,BEANS,RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",gtdvY5R76A5,2016-01-27T00:00:00Z,1,,11,1,,31,0,1,,,XgRbKCrE2B3,0.003,,,0.0347,,,
M1,BANANA,RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",BrVjLcZwqr3,2015-10-12T00:00:00Z,1,,71b,1,,71b,0,1,,,UZVMXbmYfv5,0.002,,,0.6581,M1-L06-005-01,,
M2,SORGHUM,RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",NqznyHy6N16,2016-08-10T00:00:00Z,1,,13,1,,31,0,1,,,phjNjhPWVB8,0.02,0.0,1,0.1692,M2-L07-008-04,,
M2,PADDY,RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",C56aeDFWPa7,2016-08-18T00:00:00Z,1,,12,1,,12,0,2,1,,,1.5,30.0,1,,,,
M2,BEANS,RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",Ce8hTSBH8m9,2016-01-20T00:00:00Z,1,,31,1,,11,0,2,1,,,2.0,,,,M2-L04-005-03,,
M2,S/POTATOES,RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",R5nJaf2Sop9,2015-10-07T00:00:00Z,1,,22,1,,31,0,2,1,,,2.0,,,,,,
M3,TEA,RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",Ag8CWapFXT9,2015-12-05T00:00:00Z,1,,55,1,,55,0,1,,,V6iDUTTqJt8,0.1,,,0.5034,M3-L01-007-03,,
M1,IRISH,RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",y5bMEWTbk12,2016-05-21T00:00:00Z,1,,23,1,,23,0,1,,,VYP3pDsHqD7,0.0,,,0.1812,M1-L02-010-01,,
M2,BEANS,RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",e3YsHqYkYK6,2015-10-08T00:00:00Z,1,,31,1,,31,0,2,1,,,1.0,,,,,,
M1,BANANA,RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",pYrS9Lnoio5,2015-10-06T00:00:00Z,1,,71b,1,,71b,0,1,,,7NUYooWo9Q2,0.002,,,0.5725,M1-L06-003-03,,
M3,IRISH P.,RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",mhGSC5qMs53,2016-03-02T00:00:00Z,1,,31,1,,23,0,1,,,1qAims7DRP7,0.2,,,0.462,M3-L02-009-04,,
M1,MAIZE,RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",1aHi48GS6A5,2016-07-01T00:00:00Z,1,,11,1,,23,0,1,,,PFBMZEa5UKA,0.02,,,0.1858,M1-L03-008-03,,
M1,NUTS,RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",ob6Go1epkY4,2016-08-22T00:00:00Z,1,,43,1,,13,0,1,,,JHEiMxLyAv7,0.015,0.0,1,0.2724,M1-L07-009-02,,
