Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M1,Mashariki,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,1,,12,4,,,8,1,,,bJocZnxFDP2,0.3,3.0,1,3.2,M1 MACHIA,484,1.0
M2,Masista 1,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",9WWgnSHHAA6,2014-12-18T00:00:00Z,1,,11,4,,,3,1,,,RqifN3BfW99,2.2,30.0,1,3.5,M2-mwana,483,1.0
M2,Juu,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",BVUEfqZQ6KA,2015-09-09T00:00:00Z,1,,13,4,,,3,1,,,rRHkRPYbfM9,1.0,20.0,1,4.3,M2 NASORO,787,1.0
M1,Bondeni,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",An4VyekaKi6,2015-08-10T00:00:00Z,1,,11,1,,11,1,1,,,fSvF4wP82d2,0.8,10.0,1,0.3,M1-abdalla,0,0.0
M2,Barabarani,TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",HPHgA99tPJA,2015-01-14T00:00:00Z,1,,11,4,,,5,1,,,WRyBUMoi3q6,0.2,2.0,1,1.3,M2 MACHIA,298,1.0
M2,Shamba la kwababu,TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",SUdaBvN6yMB,2014-08-12T00:00:00Z,1,,11,4,,,2,1,,,MUnpJSDRvL3,0.5,5.0,1,2.0,M2 Mbangala,383,1.0
M1,Bondeni,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RfzDYcp8cy2,2015-08-10T00:00:00Z,1,,11,1,,11,1,1,,,kHTbMPEWvg8,0.8,10.0,1,0.8,M1-taji,0,0.0
M4,Vumwa,TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KyapRja3Pi6,2014-12-28T00:00:00Z,4,,,4,,,1,1,,,QXziXFtTHf4,3.2,50.0,1,1.4,M4 FILBET,287,1.0
M3,Mchabule Chini,TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ZC9BxGQiLT8,2015-08-31T00:00:00Z,1,,31,4,,,1,1,,,dDjhY22cr62,3.3,40.0,1,1.4,M3 MTITU,332,1.0
M2,Matingini Juu,TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",fss8vTYFEz2,2015-09-13T00:00:00Z,4,,,4,,,1,1,,,pcQdPTHc1b5,1.0,15.0,1,0.7,M2 UWESU,253,1.0
