Field ID,Field name,Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,ag2a_vs_2b1,ag2a_vs_2b1_other,ag2a_vs_2b2_1,ag2a_vs_2c,ag2a_vs_2c_other,ag2a_vs_2d1,ag2a_04,ag2a_07,ag2a_08,ag2a_08_other,gps_coords,ag3a_02_1,ag3a_02_2,ag3a_02_2_1,ag2a_09,ag2a_vs_08a,ag2a_vs_8b,ag2a_vs_8c
M4,Middle garden(wakati),UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",RnembMKrW72,2015-08-13T00:00:00Z,1,,43,1,,43,0,1,,,v1XB8meGSo9,0.022,,,,,,
M1,Waka,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",fvoTDbKYuW5,2015-10-07T00:00:00Z,1,,54,1,,54,0,1,,,GL4oTZrLiB9,0.02,,,0.57,L0301002M1,,
M5,Alaku,UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",Te4C6DJXQq6,2016-07-24T00:00:00Z,4,,,1,,15,0,2,2,,,1.0,1.0,2,,L0100102m5,,
M3,Forest garden 2,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",5BM4RJvhSqA,2015-08-10T00:00:00Z,1,,21,1,,31,1,1,,,n4P3hPjZFY6,1.0,,,1.0,L0301104M3,,
M1,Mwayi,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",nG6geyTvwq7,2015-09-05T00:00:00Z,1,,54,1,,22,1,1,,,kVCfRZRamh6,0.1,,,1.51,L0300703m1,,
M5,Nayinza,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",QT4VeJxXHv4,2015-11-20T00:00:00Z,1,,31,1,,47,1,2,1,,,6.0,,,,,,
M1,Libubi,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",WMFdhZg7RN5,2015-10-23T00:00:00Z,1,,11,1,,31,0,1,,,huFB5GstSx9,250.0,,,0.31,L0201401m1,,
M1,Muramula,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",5a2WfRTPWS2,2016-01-13T00:00:00Z,1,,11,4,,,0,1,,,brxfhQLiCk8,0.045,,,0.84,L0600303M1,,
M3,Nkala,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",XBSg6BUGH3,2016-01-27T00:00:00Z,1,,21,1,,11,0,2,1,,,1.0,,,,L0600501m3,,
M1,Home garden,UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",1YCu7s1wQ37,2015-11-23T00:00:00Z,1,,54,1,,54,0,1,,,wgYq5oPRh46,0.01,,,0.14,L0200803M1,,
M1,Mowoi,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",E9xodbJqWb8,2016-02-08T00:00:00Z,1,,21,4,,,1,1,,,HBja5hMbEe7,0.02,,,0.83,L0700701m1,,
M4,forest garden 2,UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8wVusWBvZSA,2015-07-29T00:00:00Z,1,,11,1,,22,0,2,2,,,1.0,,,,,,
M4,Ebihiba,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",43RqATksCs8,2016-01-12T00:00:00Z,1,,31,1,,11,0,1,,,F7qYPwbMiM4,0.2,,,0.45,L0600601m4,,
M1,Polwoli,UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",tsxUHiQSdd5,2016-02-08T00:00:00Z,1,,42,1,,13,0,1,,,39Bh4TaDx5B,0.1,,,0.3,L0700603m1,,
M3,Gwomutanu,UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",thYGMAV5F28,2016-01-13T00:00:00Z,1,,71a,1,,71a,0,1,,,5em4kqZqdv2,0.08,,,0.33,L0600203M3,,
