Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Field ID,Season,Individual ID,ag3a_70_preparing,ag3a_70_weeding,ag3a_70_fertilizing,ag3a_70_harvesting
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2014-09-30T00:00:00Z,M1,long_rainy,FHMbG6MCXQ2,14,0,9,30
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2014-09-30T00:00:00Z,M1,long_rainy,8mLWvP6Zy49,0,0,0,0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",zRYovaahru9,2014-09-30T00:00:00Z,M1,long_rainy,7N296JTjMD7,0,0,0,0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZAXs3MY83J,2014-08-13T00:00:00Z,M1,long_rainy,AGptZb7VPn6,2,4,7,2
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZAXs3MY83J,2014-08-13T00:00:00Z,M1,long_rainy,aTXXXKtiEL2,0,0,0,0
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZAXs3MY83J,2014-08-13T00:00:00Z,M2,long_rainy,m3EZKkQwjY5,3,14,0,14
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZAXs3MY83J,2014-08-13T00:00:00Z,M2,long_rainy,gkZatL1dAb,3,14,0,14
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",qBummgzDBd8,2014-08-12T00:00:00Z,M1,long_rainy,MzxSKBkCbbB,3,22,3,22
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",qBummgzDBd8,2014-08-12T00:00:00Z,M1,long_rainy,3JXFwCPPNJ2,3,22,3,22
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",qBummgzDBd8,2014-08-12T00:00:00Z,M1,long_rainy,UMEYEzfnquA,0,22,3,22
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",qBummgzDBd8,2014-08-12T00:00:00Z,M1,long_rainy,6NScettAAM,3,22,3,22
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",qBummgzDBd8,2014-08-12T00:00:00Z,M1,long_rainy,sTWr5sadXL,0,0,0,0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",A4HX8ZvF3a8,2015-08-04T00:00:00Z,M1,long_rainy,c8ummRug7v5,30,30,0,7
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",A4HX8ZvF3a8,2015-08-04T00:00:00Z,M1,long_rainy,adyDLQgPunA,30,30,0,7
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",A4HX8ZvF3a8,2015-08-04T00:00:00Z,M1,long_rainy,wnvkBoWmUp3,0,0,0,0
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",A4HX8ZvF3a8,2015-08-04T00:00:00Z,M1,long_rainy,JQFQu8z2b35,0,0,0,0
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",ZbDwCBkG2A5,2014-10-03T00:00:00Z,M1,long_rainy,PvgjQgnGWZ7,3,2,0,2
