Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Field ID,Season,Crop ID,Crop name,ag4a_01,ag4a_02,ag4a_04,ag4a_05,ag4a_05_other,ag4a_vs_5a,ag4a_vs_5a_day,ag4a_vs_5a_month,ag4a_vs_5a_year,ag4a_06,ag4a_08,ag4a_15,ag4a_15_unit,ag4a_16,ag4a_19,ag4a_21,ag4a_23
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",7NvFkzHDPpA,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2012-12-15,15.0,12.0,2012.0,1,5.5,500.0,,175000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",ciQdXdUfHV6,2014-09-24T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2014-01-12,12.0,1.0,2014.0,1,0.5,180.0,,45000.0,1,2500.0,1
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",rai72yodTZ7,2014-12-24T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-11-11,11.0,11.0,2013.0,1,0.4,360.0,,60000.0,1,8000.0,2
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",73M3dsnzvJ7,2015-08-10T00:00:00Z,M2,long_rainy,11,Maize,1,,1,1,,2013-09-15,15.0,9.0,2013.0,1,1.1,0.0,1,0.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",A4HX8ZvF3a8,2015-08-04T00:00:00Z,M1,long_rainy,21,Cassava,1,,2,,,2013-12-09,9.0,12.0,2013.0,1,2.0,500.0,2,150000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",KyapRja3Pi6,2014-12-28T00:00:00Z,M2,long_rainy,11,Maize,1,,2,,,2013-11-05,5.0,11.0,2013.0,1,0.5,400.0,,50000.0,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",CnNmmWuhuE4,2015-08-29T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2013-11-11,11.0,11.0,2013.0,1,1.3,720.0,1,224000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",znifEwvA5C4,2014-12-11T00:00:00Z,M1,long_rainy,11,Maize,2,1,1,1,,2013-11-20,20.0,11.0,2013.0,1,3.0,2400.0,,360000.0,1,20000.0,2
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",bbQXrXaEo96,2014-08-13T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2012-12-18,18.0,12.0,2012.0,1,0.6,100.0,,35000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",WjvUqZyb157,2015-09-13T00:00:00Z,M4,long_rainy,12,Paddy,1,,2,,,2014-01-05,5.0,1.0,2014.0,1,2.1,900.0,1,370000.0,2,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",g2ZqebmF5z8,2014-08-13T00:00:00Z,M3,long_rainy,11,Maize,1,,2,,,2013-01-02,2.0,1.0,2013.0,1,4.3,450.0,,157500.0,2,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",pcKda2i8vd5,2014-08-14T00:00:00Z,M2,long_rainy,12,Paddy,1,,2,,,2013-01-22,22.0,1.0,2013.0,1,2.0,1620.0,,450000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",McAcYh2ZV69,2014-12-10T00:00:00Z,M2,long_rainy,11,Maize,1,,1,1,,2013-11-15,15.0,11.0,2013.0,1,0.6,960.0,,160000.0,1,16000.0,2
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",TzXCuVJ5tP5,2015-01-14T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2014-01-06,6.0,1.0,2014.0,1,3.0,5400.0,,1500000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",JsmhauRP8E9,2014-08-14T00:00:00Z,M1,short_rainy,26,Onions,2,2,1,1,,2013-05-30,30.0,5.0,2013.0,1,1.0,400.0,,4000000.0,1,20000.0,1
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",RTnL3zMj6T,2015-08-10T00:00:00Z,M1,long_rainy,21,Cassava,1,,2,,,2013-11-02,2.0,11.0,2013.0,1,3.4,1000.0,1,800000.0,2,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",ziHZfbph8gA,2014-08-12T00:00:00Z,M1,long_rainy,12,Paddy,1,,2,,,2013-01-03,3.0,1.0,2013.0,1,1.5,1400.0,,560000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",e7KZhetzbx,2014-12-18T00:00:00Z,M3,long_rainy,11,Maize,1,,2,,,2013-12-07,7.0,12.0,2013.0,1,2.4,960.0,,120000.0,1,100000.0,2
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",ZAZu9eYNzaA,2014-12-28T00:00:00Z,M2,long_rainy,11,Maize,1,,2,,,2013-11-28,28.0,11.0,2013.0,1,0.8,240.0,,60000.0,1,8000.0,2
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",6NYkNXf4fW6,2014-08-12T00:00:00Z,M3,long_rainy,11,Maize,2,1,1,2,,2013-01-25,25.0,1.0,2013.0,1,0.75,180.0,,63000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",e7KZhetzbx,2014-12-18T00:00:00Z,M2,long_rainy,11,Maize,1,,1,1,,2014-01-01,1.0,1.0,2014.0,1,2.4,480.0,,60000.0,1,80000.0,2
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",ziHZfbph8gA,2014-08-12T00:00:00Z,M2,long_rainy,12,Paddy,1,,2,,,2013-01-10,10.0,1.0,2013.0,1,1.0,1200.0,,300000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",84Tt3igkks,2015-08-04T00:00:00Z,M2,long_rainy,12,Paddy,1,,2,,,2014-12-20,20.0,12.0,2014.0,1,0.9,400.0,1,70000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",BP6YrbuDcL,2015-09-13T00:00:00Z,M4,long_rainy,12,Paddy,1,,2,,,2014-01-10,10.0,1.0,2014.0,1,3.7,400.0,1,200000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",1AHvfwxYcT6,2014-10-03T00:00:00Z,M1,long_rainy,12,Paddy,2,1,2,,,2014-02-07,7.0,2.0,2014.0,1,2.0,3920.0,,770000.0,1,40000.0,1
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",dtBzhqj3kQA,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2012-12-15,15.0,12.0,2012.0,1,2.1,450.0,,162000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",McAcYh2ZV69,2014-12-10T00:00:00Z,M1,long_rainy,15,Finger Millet,1,,1,1,,2013-12-07,7.0,12.0,2013.0,1,2.6,12000.0,,450000.0,1,15000.0,1
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",17tw28pAwD3,2015-08-29T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-12-03,3.0,12.0,2013.0,1,2.3,2880.0,1,685000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",65WUiskq7g6,2015-01-14T00:00:00Z,M1,long_rainy,11,Maize,1,,1,other,Lack of land,2013-11-20,20.0,11.0,2013.0,1,18.8,3240.0,,900000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",tQBVYhTSUx5,2014-10-06T00:00:00Z,M2,long_rainy,12,Paddy,1,,2,,,2014-01-09,9.0,1.0,2014.0,1,1.0,2520.0,,700000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",BP6YrbuDcL,2015-09-13T00:00:00Z,M3,long_rainy,12,Paddy,1,,2,,,2014-01-01,1.0,1.0,2014.0,1,3.9,500.0,1,250000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",mZbBzdZE8P5,2014-10-07T00:00:00Z,M3,long_rainy,11,Maize,1,,1,1,,2013-12-12,12.0,12.0,2013.0,1,7.9,1260.0,,315000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",VhjsvzpdVX8,2013-10-07T00:00:00Z,M1,long_rainy,11,Maize,2,2,2,,,2012-12-04,4.0,12.0,2012.0,1,0.25,200.0,,140000.0,2,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",g2ZqebmF5z8,2014-08-13T00:00:00Z,M2,long_rainy,47,Soyabeans,1,,2,,,2012-12-26,26.0,12.0,2012.0,1,1.5,80.0,,144000.0,1,2000.0,1
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",yPna76R7KH6,2014-08-13T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2012-11-11,11.0,11.0,2012.0,1,3.0,1200.0,,360000.0,2,,
TZA,Tanzania Forest Conservation Group,34.8481422428861,-8.53911341077989,"L10",ZRuCufE5rt9,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,2,1,1,2,,2012-12-02,2.0,12.0,2012.0,1,2.3,480.0,,192000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",fss8vTYFEz2,2015-09-13T00:00:00Z,M1,long_rainy,42,Sesame/Simsim,1,,2,,,2014-01-15,15.0,1.0,2014.0,1,3.1,350.0,1,350000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",Qrakmh9TAb7,2014-09-29T00:00:00Z,M1,long_rainy,12,Paddy,1,,2,,,2014-03-18,18.0,3.0,2014.0,1,9360.0,3.9,,3120000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",ZSL3mumZ4X8,2014-08-12T00:00:00Z,M1,long_rainy,11,Maize,2,2,1,1,,2012-12-03,3.0,12.0,2012.0,1,1.5,900.0,,720000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",T5DZd2AUTX7,2015-08-14T00:00:00Z,M2,short_rainy,11,Maize,1,,2,,,2014-07-10,10.0,7.0,2014.0,1,1.1,150.0,1,300000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",onwJq3WmHg2,2014-08-12T00:00:00Z,M1,short_rainy,,,,,,,,,,,,2,,,,,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",G8pqkT9RvZB,2015-01-15T00:00:00Z,M2,long_rainy,11,Maize,1,,1,2,,2014-01-10,10.0,1.0,2014.0,1,8.0,540.0,,150000.0,1,4000.0,2
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",QuoaS1YaSX9,2015-08-31T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2013-11-20,20.0,11.0,2013.0,1,1.2,630.0,1,140000.0,2,,
TZA,Tanzania Forest Conservation Group,36.4463760379053,-7.53483534169035,"L18",6s9v6agXWi3,2014-08-13T00:00:00Z,M1,long_rainy,26,Onions,1,,2,,,2013-05-10,10.0,5.0,2013.0,1,0.6,2600.0,,1560000.0,1,60000.0,1
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",5R7zjWiS4o,2014-12-24T00:00:00Z,M3,long_rainy,11,Maize,1,,2,,,2013-11-29,29.0,11.0,2013.0,1,2.4,1440.0,,192000.0,2,,
TZA,Tanzania Forest Conservation Group,31.7140544443077,-7.93601976329183,"L03",x3YWH9QUug,2014-12-10T00:00:00Z,M1,long_rainy,11,Maize,1,,1,1,,2013-12-01,1.0,12.0,2013.0,1,1.8,720.0,,108000.0,2,,
TZA,Tanzania Forest Conservation Group,38.7492089681939,-8.14419444155308,"L22",Q6XjbVrPyy9,2015-09-09T00:00:00Z,M2,long_rainy,21,Cassava,1,,2,,,2013-12-28,28.0,12.0,2013.0,1,0.8,3000.0,1,1200000.0,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",ERzfUDJvVr5,2015-08-30T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2014-01-01,1.0,1.0,2014.0,1,2.2,1260.0,1,147000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",PrddN7Eh7v3,2015-04-21T00:00:00Z,M1,long_rainy,11,Maize,1,,2,,,2013-12-10,10.0,12.0,2013.0,1,1.5,700.0,,125000.0,1,12500.0,2
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",Mf1iaj3mXF6,2014-08-11T00:00:00Z,M1,long_rainy,12,Paddy,2,1,2,,,2013-02-08,8.0,2.0,2013.0,1,2.0,1600.0,,960000.0,2,,
TZA,Tanzania Forest Conservation Group,34.6613285529092,-10.0674212512047,"L11",RnWd36XhwD2,2015-08-07T00:00:00Z,M2,long_rainy,11,Maize,1,,1,1,,2013-11-19,19.0,11.0,2013.0,1,1.0,840.0,1,126000.0,2,,
TZA,Tanzania Forest Conservation Group,36.5229650139842,-8.09763085083975,"L19",pcKda2i8vd5,2014-08-14T00:00:00Z,M1,long_rainy,42,Sesame,2,3,2,,,2013-01-29,29.0,1.0,2013.0,1,1.9,400.0,,600000.0,2,,
TZA,Tanzania Forest Conservation Group,34.3167307654591,-8.60363144569888,"L20",mZbBzdZE8P5,2014-10-07T00:00:00Z,M2,long_rainy,12,Paddy,1,,2,,,2014-01-20,20.0,1.0,2014.0,1,2880.0,1.0,,800000.0,2,,
