Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Field ID,Season,Crop ID,Crop name,ag4a_01,ag4a_02,ag4a_04,ag4a_05,ag4a_05_other,ag4a_vs_5a,ag4a_vs_5a_day,ag4a_vs_5a_month,ag4a_vs_5a_year,ag4a_06,ag4a_08,ag4a_15,ag4a_15_unit,ag4a_16,ag4a_19,ag4a_21,ag4a_23
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",LEzTDqKV6f3,2016-04-06T00:00:00Z,M3,short_rainy,31,Beans,1,,2,,,2015-09-06,6.0,9.0,2015.0,1,0.25,100.0,1,100000.0,2,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",Uvc1cgf5XM9,2016-02-05T00:00:00Z,M3,long_rainy,43,Groundnut,1,,2,,,2015-04-17,17.0,4.0,2015.0,2,,,,,2,,
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",SqGfB47Y5q3,2016-07-31T00:00:00Z,M2,short_rainy,13,Sorghum,1,,2,,,2015-09-18,18.0,9.0,2015.0,1,1.25,80.0,1,96000.0,2,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",nf2b6XaXDy3,2016-01-20T00:00:00Z,M5,long_rainy,43,Groundnut,2,1,1,2a,,2015-06-20,20.0,6.0,2015.0,2,,,,,1,15000.0,1
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",UKqsMYWu6S2,2016-04-06T00:00:00Z,M1,short_rainy,31,Beans,2,2,1,2a,,2015-09-06,6.0,9.0,2015.0,1,0.5,100.0,1,200000.0,2,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",mUQGMG1UT55,2015-08-10T00:00:00Z,M4,long_rainy,31,Beans,2,1,1,1,,2014-03-10,10.0,3.0,2014.0,1,0.125,80.0,1,120000.0,2,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",kAym5mCCtcB,2016-01-16T00:00:00Z,M1,short_rainy,31,Beans,1,,2,,,2014-07-16,16.0,7.0,2014.0,1,1.5,40.0,1,80000.0,1,10000.0,1
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",pfmDHWctSE3,2015-09-11T00:00:00Z,M3,long_rainy,22,Sweet Potatoes,1,,2,,,2014-03-20,20.0,3.0,2014.0,1,0.25,200.0,1,150000.0,2,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",n4TwADF35,2016-04-13T00:00:00Z,M4,long_rainy,31,Beans,,,,,,2016-05-04,4.0,5.0,2016.0,,,,,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",9D4NrgAzDH4,2016-01-30T00:00:00Z,M2,short_rainy,15,Finger Millet,1,,2,,,2014-07-29,29.0,7.0,2014.0,1,0.5,100.0,1,100000.0,1,10000.0,1
