Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Season,Crop ID,Crop name,ag5a_01,ag5a_02_1,ag5a_02_2,ag5a_03,ag5a_12_1,ag5a_20,ag5a_21,ag5a_21_other,ag5a_22,ag5a_24,ag5a_24_other,ag5a_25,ag5a_26
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,"L02",BNLAgvK3aCA,2014-12-17T00:00:00Z,long_rainy,100,Okra,1,75.0,,225.0,2014-10-01,2,,,,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",C7yu9JZpZ96,2014-09-28T00:00:00Z,short_rainy,21,,2,,,,,2,,,,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",wTASpGRGc38,2015-05-21T00:00:00Z,long_rainy,45,Coconut,1,500.0,,750.0,2014-03-01,1,5,,1,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",Yt9L1fZvpf5,2014-09-15T00:00:00Z,long_rainy,75,Pineapple,2,,,,,2,,,,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",56esinYPtWB,2014-10-03T00:00:00Z,short_rainy,12,,,,,,,,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",PXb5NT8y8n6,2015-02-18T00:00:00Z,long_rainy,11,Maize,1,70.0,,120.0,2014-03-01,2,,,,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",E3EGXT3BJS5,2014-09-10T00:00:00Z,short_rainy,21,,,,,,,,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",3oYDbENAuo,2014-10-05T00:00:00Z,long_rainy,24,Yams,2,,,,,2,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",o1aKSCrDRMB,2015-04-27T00:00:00Z,long_rainy,45,Coconut,1,700.0,,210.0,2014-03-01,1,5,,1,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",YqAFB2BMNLB,2014-09-28T00:00:00Z,long_rainy,94,Egg Plant,1,3200.0,,8000.0,2013-10-01,1,2,,1,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",YqAFB2BMNLB,2014-09-28T00:00:00Z,short_rainy,94,,1,2400.0,,3600.0,2013-10-01,1,2,,1,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",oGAiiS5KTH6,2014-09-30T00:00:00Z,long_rainy,94,Egg Plant,1,3570.0,,2380.0,2013-07-01,2,,,,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",CTRQQXCQTVB,2014-09-15T00:00:00Z,long_rainy,21,Cassava,1,,,1620.0,2013-10-01,2,,,,4,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",CxMdVRz4Fo,2014-08-21T00:00:00Z,short_rainy,21,,1,1400.0,,1580.0,2014-01-01,2,,,,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",AZbZLMWXXU5,2014-09-03T00:00:00Z,long_rainy,45,Coconut,2,,,,,2,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",UDYnaavH8U3,2015-02-17T00:00:00Z,long_rainy,12,Paddy,2,,,,,,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",6o1LRkbmmy9,2015-05-21T00:00:00Z,short_rainy,45,,1,270.0,,405.0,2014-09-01,1,5,,1,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",wjL1nhwXLP,2014-08-27T00:00:00Z,short_rainy,71,,1,160.0,,300.0,2013-11-01,2,,,,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",WX9WPcwEjJ9,2015-03-29T00:00:00Z,short_rainy,57,,2,,,,,2,,,,other,Did not harvest rubber,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",zbPhVbZ2hNA,2014-08-13T00:00:00Z,short_rainy,56,,1,350.0,,1190.0,2013-12-01,2,,,,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,"L03",1YyZC8Zyxy7,2014-09-24T00:00:00Z,short_rainy,90,,1,180.0,,120.0,2014-04-01,1,1,,1,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",6rFDY18oMR9,2015-05-27T00:00:00Z,long_rainy,21,Cassava,2,,,,,2,,,,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,"L04",wjL1nhwXLP,2014-08-27T00:00:00Z,long_rainy,76,Orange,1,1000.0,,350.0,2013-07-01,1,1,,1,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",Ta22RrxG4KB,2014-09-10T00:00:00Z,short_rainy,21,,2,,,,,,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,"L06",reM7upJxET6,2014-09-12T00:00:00Z,long_rainy,21,Cassava,2,,,,,2,,,,,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,"L05",wGsPM221dM8,2015-03-29T00:00:00Z,short_rainy,44,,1,100.0,,100.0,2014-01-01,2,,,,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,"L01",rvasPDxnwj3,2015-02-27T00:00:00Z,long_rainy,11,Maize,2,,,,,1,5b,,7,2,,,
