Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Season,Crop ID,Crop name,ag5a_01,ag5a_02_1,ag5a_02_2,ag5a_03,ag5a_12_1,ag5a_20,ag5a_21,ag5a_21_other,ag5a_22,ag5a_24,ag5a_24_other,ag5a_25,ag5a_26
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",JM2DWViH8L8,2016-01-29T00:00:00Z,short_rainy,23,,2,,,,,1,5b,,3,2,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",8LgQmjxaed7,2016-08-20T00:00:00Z,long_rainy,31,Beans,2,,,,,1,1,,5,2,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",rQmTKtJ2h92,2016-07-23T00:00:00Z,long_rainy,11,Maize,2,,,,,1,5,,5,2,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",nMVazETomT7,2015-12-09T00:00:00Z,long_rainy,31,Beans,2,,,,,1,1,,3,6,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",gtdvY5R76A5,2016-01-27T00:00:00Z,long_rainy,23,Irish potatoes,2,,,,,2,,,,6,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",TY6c2BvPeq8,2016-07-27T00:00:00Z,long_rainy,23,Irish potatoes,2,,,,,2,,,,6,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",hXCHXcG2W46,2016-02-01T00:00:00Z,long_rainy,31,Beans,2,,,,,2,,,,6,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",M8qxpz4tTs2,2016-01-28T00:00:00Z,short_rainy,31,,2,,,,,2,,,,6,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",UVBzkFMeZz9,2016-07-25T00:00:00Z,short_rainy,23,,2,,,,,2,,,,2,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",mDLfcyhvBu,2016-01-12T00:00:00Z,short_rainy,31,,2,,,,,1,5b,,5,6,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",zxz5fHgxQr4,2016-05-26T00:00:00Z,short_rainy,23,,1,1000.0,1,160000.0,2014-10-01,1,3,,5,2,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",RCuAWjMUBmA,2016-11-21T00:00:00Z,long_rainy,35,Chick peas,2,,,,,1,1,,5,2,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",WVpeXYVGNq8,2016-08-15T00:00:00Z,long_rainy,13,Sorghum,2,,,,,1,1,,2,2,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",rP7DxqhNrW3,2016-07-19T00:00:00Z,long_rainy,31,Beans,2,,,,,2,,,,2,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",R5nJaf2Sop9,2015-10-07T00:00:00Z,short_rainy,31,,,,,,,,,,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",GBGa6M3rbd3,2016-11-18T00:00:00Z,long_rainy,16,Wheat,1,30.0,1,10200.0,2014-08-01,2,,,,4,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",AvkkCXoYrg8,2016-10-16T00:00:00Z,short_rainy,11,,1,50.0,1,1.0,2015-05-01,2,,,,6,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",EXzXQD4FSm3,2016-07-27T00:00:00Z,short_rainy,31,,1,10.0,1,3000.0,2015-02-01,2,,,,2,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",seXpFZmj3a,2016-01-23T00:00:00Z,long_rainy,22,Sweet Potatoes,1,50.0,1,5000.0,2014-11-01,2,,,,4,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",Mq9anduKdR9,2016-05-17T00:00:00Z,long_rainy,81,Blood fruit,2,,,,,2,,,,,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",eVbuv11Jya9,2015-11-20T00:00:00Z,long_rainy,55,Tea,1,150.0,1,16800.0,2014-09-01,2,,,,1,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",JYjBoTCdte4,2015-10-14T00:00:00Z,short_rainy,71b,,2,,,,,2,,,,2,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",AVbrhtAbDP5,2016-02-16T00:00:00Z,short_rainy,86,,1,800.0,1,36000.0,2014-12-01,2,,,,1,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",x7bE3Pdy8h5,2016-07-23T00:00:00Z,long_rainy,11,Maize,2,,,,,2,,,,2,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",LZ29vrnear2,2016-04-23T00:00:00Z,short_rainy,23,,1,4500.0,1,765000.0,2015-02-01,2,,,,6,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",s754vJkGDg2,2016-07-15T00:00:00Z,long_rainy,13,Sorghum,1,500.0,1,80000.0,2014-07-01,2,,,,2,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",Wj18gYU55E5,2016-08-12T00:00:00Z,long_rainy,47,Soyabeans,2,,,,,2,,,,2,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",4aupp5Gqjv6,2016-03-05T00:00:00Z,long_rainy,11,Maize,1,400.0,1,100000.0,2014-09-01,2,,,,5,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",AVbrhtAbDP5,2016-02-16T00:00:00Z,short_rainy,23,,2,,,,,2,,,,6,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",e3YsHqYkYK6,2015-10-08T00:00:00Z,short_rainy,31,,2,,,,,2,,,,2,,,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",eSXVTUZDKD3,2016-07-21T00:00:00Z,short_rainy,71a,,1,9000.0,1,220000.0,2015-02-01,2,,,,2,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",fzVneyP9Mg7,2016-01-27T00:00:00Z,long_rainy,11,Maize,2,,,,,1,5b,,10,4,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",mDLfcyhvBu,2016-01-12T00:00:00Z,long_rainy,22,Sweet Potatoes,2,,,,,1,1,,3,1,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",Wj18gYU55E5,2016-08-12T00:00:00Z,short_rainy,31,Beans,2,,,,,1,1,,5,2,,,
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",4uYtGb6q1h5,2016-11-19T00:00:00Z,long_rainy,35,Chick peas,1,5.0,1,5000.0,2014-08-01,1,1,,6,6,,,
