Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop type,Field ID,Field name,Crop ID,Crop name,ag6a_02,ag6a_05,ag6a_08_1,ag6a_08_2,ag6a_vs_09
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",hyWdWQ552X7,2016-07-26T00:00:00Z,permanent,M3,Kalutusi,21,Cassava,100,1,120.0,1,156000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",tNWzZ2EiTjA,2016-07-25T00:00:00Z,permanent,M1,Marigo,304,Timber,35,1,0.0,1,0.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",FnGwGBNbLj6,2016-02-01T00:00:00Z,fruit,M1,Lucihu,72,Avocado,10,1,80.0,1,22000.0
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,"L07",J4NQk5mWMXA,2016-02-07T00:00:00Z,fruit,M1,Teyawo,70,Passion Fruit,1,1,0.0,,0.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",h2NJwtqVTd2,2016-01-10T00:00:00Z,fruit,M1,Awujo,72,Avocado,4,1,100.0,1,30000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",vwWMrLhFgq5,2016-04-13T00:00:00Z,fruit,M1,Kibaya,71a,Banana Food,9,1,60.0,1,60000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",kAKQZBMLkGA,2016-01-29T00:00:00Z,permanent,M2,Ebicholi,21,Cassava,1000,2,120.0,1,80000.0
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,"L04",n4TwADF35,2016-04-13T00:00:00Z,fruit,M5,Kyafolongo,70,Passion Fruit,2,1,12.0,1,12000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",gVnZfUnJ4V,2016-07-12T00:00:00Z,fruit,M1,Kojiba,76,Orange,3,1,100.0,1,5000.0
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,"L06",jim2m9kx6y4,2015-12-26T00:00:00Z,fruit,M1,Home garden,69,Jack fruit,1,1,50.0,1,10000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8wVusWBvZSA,2015-07-29T00:00:00Z,fruit,M1,Field at home,69,Jack fruit,3,1,250.0,1,120000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",ea6XKQhZyd3,2015-10-26T00:00:00Z,permanent,M1,Nabikwaka,54,Coffee,2000,1,200.0,1,400000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",ve5Vid3J3j2,2015-08-16T00:00:00Z,permanent,M3,Manimilo,21,Cassava,100,1,70.0,1,50000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",oimuabaAoj4,2015-10-13T00:00:00Z,fruit,M1,Home garden,73,Mango,4,1,75.0,1,27000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",vbnCBWJgn15,2016-07-18T00:00:00Z,permanent,M2,Komolo 1,21,Cassava,80,2,70.0,1,56000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",fvoTDbKYuW5,2015-10-07T00:00:00Z,fruit,M1,Waka,73,Mango,2,1,150.0,1,30000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",Q12jo3rceY8,2015-11-22T00:00:00Z,fruit,M1,Nabusasi,72,Avocado,2,1,50.0,1,5000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",DUyLNfXcu24,2016-07-19T00:00:00Z,permanent,M3,Gumbili,21,Cassava,150,2,200.0,1,200000.0
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,"L03",8wVusWBvZSA,2015-07-29T00:00:00Z,permanent,M1,Field at home,21,Cassava,70,1,100.0,1,130000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",5xza3zKCC65,2015-11-21T00:00:00Z,fruit,M1,Home garden,80,Guava,1,2,0.0,,0.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",Q12jo3rceY8,2015-11-22T00:00:00Z,permanent,M2,Home garden,21,Cassava,70,1,200.0,1,80000.0
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,"L02",fYfZbzp5Nv8,2016-01-07T00:00:00Z,permanent,M2,Nabutasi,54,Coffee,50,1,200.0,1,1100000.0
UGA,Africa Innovations Institude,31.1975267607797,3.5840602791963,"L01",hyWdWQ552X7,2016-07-26T00:00:00Z,permanent,M2,Bitto,21,Cassava,90,2,65.0,1,84500.0
