Country,Partner Organization,longitude,latitude,Landscape #,Household ID,Data entry date,Crop ID,Is Processed,Is Byproduct,ag09_02_1,ag09_03,ag09_03_other,ag09_03_by,ag09_03_by_other,ag09_03_product_name,ag09_04_1,ag09_04_2,ag09_07,ag09_07_2,ag09_05,ag09_06_1,ag09_06_2,ag09_08,ag09_vs_8a,ag09_vs_8b_1,ag09_vs_8b_2,ag09_10,ag09_11
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",ACtMM9ksKX9,2016-10-05T00:00:00Z,Soyabeans,true,,47,1,,,,,10.0,1,,,2,,,,2,,,1,250.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",mE3oDzqBqu4,2016-08-11T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,0.0,1,2,,,,2,,,1,1000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",LZ29vrnear2,2016-04-23T00:00:00Z,Maize,true,,11,1,,,,,40.0,1,0.0,,2,,,,1,3.0,1,1,2000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",zywmeprmCJ6,2016-08-24T00:00:00Z,Maize,true,,11,1,,,,,10.0,1,0.0,1,2,,,,1,3.0,1,1,400.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",TYoYR9fk5v3,2016-08-17T00:00:00Z,Maize,true,,11,1,,,,,15.0,1,0.0,1,2,,,,2,,,1,600.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",1m6QKguDbp4,2016-07-14T00:00:00Z,Cassava,true,,21,1,,,,,400.0,1,0.0,,2,,,,1,10.0,1,1,8000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",AvkkCXoYrg8,2016-10-16T00:00:00Z,Banana Beer,true,,71b,4,,,,,100.0,1,,,1,80.0,1,20000.0,2,,,1,3000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",NqznyHy6N16,2016-08-10T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,0.0,1,2,,,,2,,,1,1000.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",x7bE3Pdy8h5,2016-07-23T00:00:00Z,Maize,true,,11,1,,,,,100.0,1,,,2,,,,1,15.0,1,1,5000.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",to8Gc5JzaT7,2015-10-08T00:00:00Z,Banana Food,true,,71a,4,,,,,40.0,2,390.0,1,1,40.0,2,14000.0,2,,,2,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",AvkkCXoYrg8,2016-10-16T00:00:00Z,Cassava,true,,21,1,,,,,200.0,1,,,1,20.0,1,8000.0,2,,,1,2500.0
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",pYrS9Lnoio5,2015-10-06T00:00:00Z,Banana Beer,true,,71b,4,,,,,160.0,2,,,1,80.0,2,12000.0,2,,,2,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,"L06",jQRmJu3n453,2015-10-02T00:00:00Z,Banana Food,true,,71a,4,,,,,240.0,2,,,1,240.0,2,9000.0,2,,,2,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",DEfS8gcomk3,2016-02-29T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,,,2,,,,2,,,1,1200.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",WuExMq5R6A9,2016-05-19T00:00:00Z,Wheat,true,,16,1,,,,,5.0,1,,,2,,,,2,,,1,125.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",4aupp5Gqjv6,2016-03-05T00:00:00Z,Maize,true,,11,1,,,,,150.0,1,0.0,,2,,,,1,20.0,1,1,9000.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",nUikVE2njA5,2016-02-17T00:00:00Z,Maize,true,,11,1,,,,,15.0,1,,,2,,,,2,,,1,450.0
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,"L04",6vh1fcZWV2A,2016-02-03T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,,1,2,,,,2,,,1,1000.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",kwtgXoW7Ei8,2016-07-20T00:00:00Z,Banana Beer,true,,71b,4,,,,,20.0,2,,,2,,,,1,5.0,2,2,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",AoyYjSvsgJA,2016-03-01T00:00:00Z,Sorghum,true,,13,1,,,,,8.0,1,,,2,,,,2,,,1,160.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",5s4t5icCN2,2016-07-16T00:00:00Z,Cassava,true,,21,1,,,,,50.0,1,,,2,,,,1,10.0,1,1,750.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",EhXFcHgzLr8,2016-08-23T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,0.0,1,2,,,,1,10.0,1,1,2000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",y5bMEWTbk12,2016-05-21T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,,,2,,,,2,,,1,600.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",DRwp2xk3gPB,2016-07-22T00:00:00Z,Soyabeans,true,,47,1,,,,,20.0,1,,,2,,,,2,,,1,1000.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",8QSNRiJbU45,2016-08-10T00:00:00Z,Sorghum,true,,13,1,,,,,10.0,1,0.0,1,2,,,,1,2.0,1,1,500.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",EXzXQD4FSm3,2016-07-27T00:00:00Z,Sorghum,true,,13,1,,,,,2.0,1,,,2,,,,2,,,1,20.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",3aT11RTk4H8,2016-08-20T00:00:00Z,Groundnut,true,,43,1,,,,,10.0,1,0.0,1,2,,,,2,,,1,500.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",8LgQmjxaed7,2016-08-20T00:00:00Z,Maize,true,,11,1,,,,,10.0,1,0.0,1,2,,,,2,,,1,500.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",tuxCwfbZQN9,2016-08-16T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,0.0,1,2,,,,2,,,1,2500.0
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,"L07",Kg7uwpdD4P5,2016-08-13T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,0.0,1,2,,,,2,,,1,2500.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",e2RyT8u9Vs5,2015-12-03T00:00:00Z,Maize,true,,11,1,,,,,10.0,1,,,2,,,,2,,,1,500.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",TSZ8yp6UEy4,2016-04-19T00:00:00Z,Maize,true,,11,1,,,,,15.0,1,,,2,,,,2,,,1,450.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",J2FX8wXV8S9,2016-07-26T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,,,2,,,,1,2.0,1,1,1500.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",KeSq3y3A1h4,2016-01-13T00:00:00Z,Wheat,true,,16,1,,,,,4.0,1,,,2,,,,2,,,2,
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",rQmTKtJ2h92,2016-07-23T00:00:00Z,Maize,true,,11,1,,,,,20.0,1,,,2,,,,2,,,1,1200.0
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,"L03",fL32p1TYNb8,2016-07-20T00:00:00Z,Maize,true,,11,1,,,,,30.0,1,,,2,,,,1,2.0,1,1,1500.0
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,"L01",Ag8CWapFXT9,2015-12-05T00:00:00Z,Wheat,true,,16,1,,,,,20.0,1,,,2,,,,,,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",nkB43h7a3u6,2016-04-22T00:00:00Z,Maize,true,,11,1,,,,,400.0,1,,,2,,,,1,10.0,1,1,20000.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",U4AbXpgwpoA,2016-04-25T00:00:00Z,Maize,true,,11,1,,,,,10.0,1,,,2,,,,2,,,1,300.0
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,"L02",iGeYWScB9G8,2016-04-26T00:00:00Z,Maize,true,,11,1,,,,,50.0,1,,,2,,,,2,,,1,1000.0
