Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,07,18,"L03",2w6GUTeKDd,nyvgKzAgGt8,,,,GLjkaGjMaf6,2014-09-28,,2014-09-28T00:00:00Z,1,2,1412094643733.jpg,1,1,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,08,13,"L02",aC1Yp9Vbbb9,mTfZaNtA6S6,,,,GLjkaGjMaf6,2014-12-16,Nv3qBdibWD5,2014-12-16T00:00:00Z,1,2,1418744786161.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,07,18,"L03",5JcGGbr2Y88,,,,,fBG8mpPu1V3,2014-10-05,jPsrT9HYaWB,2014-10-05T00:00:00Z,1,2,1412504655649.jpg,1,2,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,03,01,"L06",K7cFANftUD3,aZEDtsWVwN8,,,,kNZW9z5PqgB,2014-09-07,QwBungHb3H3,2014-09-07T00:00:00Z,1,2,1410112045515.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,08,13,"L02",XiQuiDjntD2,qwFximdGZA7,,,,g2v4YuErG79,2014-12-29,intxmu8iSK4,2014-12-29T00:00:00Z,1,2,1419854610760.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,08,20,"L01",KoKjL6iByr6,SYHg9WDrUQ6,,,,d12YSFUD4x8,2015-03-02,jPsrT9HYaWB,2015-03-02T00:00:00Z,1,,1425288469919.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.834999084472656,10.5590000152588,08,20,"L01",rvasPDxnwj3,cFPPtqyJCY3,,,,d12YSFUD4x8,2015-02-27,jPsrT9HYaWB,2015-02-27T00:00:00Z,1,,,1,5,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,01,01,"L05",nMZQwMPqKU4,Tqrzb75hfs8,,,,b1NCZnXapeA,2015-03-28,intxmu8iSK4,2015-03-28T00:00:00Z,1,2,1432822985860.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.854499816894531,9.90400123596191,08,13,"L02",Ny58V5eghz7,kBpdACpKEq5,,,,b1NCZnXapeA,2014-12-29,intxmu8iSK4,2014-12-29T00:00:00Z,1,2,,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,02,09,"L06",reM7upJxET6,fE17rz3nCcA,,,,kNZW9z5PqgB,2014-09-12,QwBungHb3H3,2014-09-12T00:00:00Z,1,2,1410547120424.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,06,12,"L04",CxMdVRz4Fo,vd27J19NrD8,,,,GiqrBSUhcd2,2014-08-20,intxmu8iSK4,2014-08-21T00:00:00Z,1,2,1408635877776.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,07,18,"L03",C7yu9JZpZ96,fwn3wimcnZ8,,,,GLjkaGjMaf6,2014-09-28,,2014-09-28T00:00:00Z,1,2,1411896815166.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,06,12,"L04",rfcJhQz5u38,R5oVRcaLUyA,,,,GiqrBSUhcd2,2014-09-02,intxmu8iSK4,2014-09-02T00:00:00Z,1,2,1409988709969.jpg,2,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,02,09,"L06",thieXHRj9r7,3BgNtAf2Xg7,,,,kNZW9z5PqgB,2014-09-09,QwBungHb3H3,2014-09-09T00:00:00Z,1,2,1410287713439.jpg,1,,,,
GHA,Ghana Council for Scientific and Industrial Research,-0.510699272155762,5.72800064086914,05,03,"L06",c4ZGhkt4uq2,U4N8jCt1uE4,,,,kNZW9z5PqgB,2014-09-07,QwBungHb3H3,2014-09-07T00:00:00Z,1,2,1410121355834.jpg,1,other,Nkaekyere,,
GHA,Ghana Council for Scientific and Industrial Research,-0.880999565124512,7.70899963378906,07,18,"L03",qaB9PRByhQ7,b6i73QeSJo3,,,,xexPKpAgiJ2,2014-09-27,jPsrT9HYaWB,2014-09-27T00:00:00Z,1,2,1411845583127.jpg,1,5,,,
GHA,Ghana Council for Scientific and Industrial Research,-1.49399948120117,6.55200004577637,06,12,"L04",pKpxx6da5u6,etxFUyEPLn,,,,g2v4YuErG79,2014-08-28,intxmu8iSK4,2014-08-28T00:00:00Z,1,2,1409216274871.jpg,1,5,,,
GHA,Ghana Council for Scientific and Industrial Research,-2.57799911499023,5.09250068664551,01,01,"L05",6rFDY18oMR9,RxaWUW9DHw,,,,GiqrBSUhcd2,2015-05-27,Nv3qBdibWD5,2015-05-27T00:00:00Z,1,2,1432720430705.jpg,1,2,,,
