Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",C56aeDFWPa7,iFDdoULF454,p32HA2B1Fw3,2000-01-01 12:26:00 UTC,2016-08-18,Ei6Xo6n7oU4,2016-08-18,Ei6Xo6n7oU4,2016-08-18T00:00:00Z,1,2015,1473333685441.jpg,2,,,2000-01-01 13:00:00 UTC,paper
RWA,Wildlife Conservation Society,30.678255588268,-1.93426664412886,05,54,"L03",Tt5k1X1aefA,xaY7LuTwhKB,,2000-01-01 09:25:00 UTC,2016-07-15,i3ZgvUSffF,2016-07-15,i3ZgvUSffF,2016-07-15T00:00:00Z,1,4,1469696510569.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,03,32,"L04",6VtbLtrb1D3,MvgHxV8YmM4,,2000-01-01 09:41:00 UTC,2016-01-25,i3ZgvUSffF,2016-01-25,i3ZgvUSffF,2016-01-25T00:00:00Z,1,3,1453794797141.jpg,2,,,,
RWA,Wildlife Conservation Society,30.0187746264512,-2.28718495548197,05,57,"L07",yyXhtLq72C2,bT7r47mL8d8,p32HA2B1Fw3,2000-01-01 10:05:00 UTC,2016-08-18,Ei6Xo6n7oU4,2016-08-18,Ei6Xo6n7oU4,2016-08-18T00:00:00Z,1,2015,1473324593238.jpg,1,9,,2000-01-01 11:00:00 UTC,paper
RWA,Wildlife Conservation Society,29.4347584689003,-2.57578970240643,02,25,"L01",nMVazETomT7,paT79DTLaN9,,2000-01-01 10:16:00 UTC,2015-12-07,fcQUgfywhz3,2015-12-09,i3ZgvUSffF,2015-12-09T00:00:00Z,1,3,1449684650306.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,02,27,"L06",BrVjLcZwqr3,HsA9B2QevH9,,2000-01-01 10:30:00 UTC,2015-10-12,i3ZgvUSffF,2015-10-12,i3ZgvUSffF,2015-10-12T00:00:00Z,1,3,1463391316586.jpg,1,9,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",voQqwNL5SR4,awNvmGvMXs3,,2000-01-01 11:12:00 UTC,2016-03-03,i3ZgvUSffF,2016-03-03,73SJ6W4Wnt9,2016-03-03T00:00:00Z,1,4,1463052464931.jpg,1,5,,,
RWA,Wildlife Conservation Society,29.7928701957997,-1.97725720942347,02,28,"L06",vdieyWj8obA,98cm5zMF8UB,,2000-01-01 10:04:00 UTC,2015-11-07,i3ZgvUSffF,2015-11-07,i3ZgvUSffF,2015-11-07T00:00:00Z,1,3,1463121131065.jpg,2,,,,
RWA,Wildlife Conservation Society,29.55086017135,-1.48050348714566,04,43,"L02",AoyYjSvsgJA,XWakiMuwZc9,,2000-01-01 09:42:00 UTC,2016-03-01,i3ZgvUSffF,2016-03-01,i3ZgvUSffF,2016-03-01T00:00:00Z,1,4,1463230912594.jpg,1,5,,,
RWA,Wildlife Conservation Society,29.3847853801739,-1.80927231441535,03,32,"L04",M8qxpz4tTs2,JjREb157Kj8,,2000-01-01 10:30:00 UTC,2016-01-28,i3ZgvUSffF,2016-01-28,i3ZgvUSffF,2016-01-28T00:00:00Z,1,3,1454155448323.jpg,1,5,,,
