Country,Partner Organization,longitude,latitude,Region,District,Landscape #,Household ID,Household head ID,Enumerator ID,Time interview start,Date of interview,Supervisor ID,Questionnaire inspection date,Clerk ID,Data entry date,fr_01,fr2_10,fr_5,ag12b_vs_09a,ag12a_vs_10,ag12a_vs_10_other,End Time,Survey Instrument
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,408,"L04",Kq42xQGSvu4,kSMqHs5uyU,,2000-01-01 12:42:00 UTC,2016-03-16,VXXtPYtHb53,2015-03-20,s8w1kT9jvY7,2016-04-14T00:00:00Z,1,4,1460593652097.jpg,1,10,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,04,409,"L06",Zsq7RscRsJA,ijZNkzBbwV3,,2000-01-01 13:25:00 UTC,2015-08-24,VXXtPYtHb53,2015-08-28,YFPdkT7Y2y8,2015-12-27T00:00:00Z,1,3,1451221965787.jpg,2,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",QP58gEJbLF8,FskexsBGhD9,,2000-01-01 22:17:00 UTC,2015-09-29,VXXtPYtHb53,2015-09-30,s8w1kT9jvY7,2016-02-05T00:00:00Z,1,3,1454700260849.jpg,1,10,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,01,121,"L03",fvoTDbKYuW5,JvTFLBhiJn,,2000-01-01 15:00:00 UTC,2015-03-14,VXXtPYtHb53,2015-03-16,YFPdkT7Y2y8,2015-10-07T00:00:00Z,1,3,1444199049182.jpg,2,,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",PxqUsT3Kg39,Ws2qH9DdMD8,,2000-01-01 13:52:00 UTC,2015-09-28,VXXtPYtHb53,2016-08-30,s8w1kT9jvY7,2016-02-05T00:00:00Z,1,3,1454622635983.jpg,1,10,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",mjcdtjVVCA6,VrPzZCX7HFB,,2000-01-01 12:27:00 UTC,2015-09-23,VXXtPYtHb53,2015-09-24,s8w1kT9jvY7,2016-02-06T00:00:00Z,1,3,1454717482858.jpg,1,10,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,02,218,"L02",ea6XKQhZyd3,8sknMbmQvV3,,2000-01-01 02:41:00 UTC,2015-05-07,D9FRoZyWJT4,2015-05-08,YFPdkT7Y2y8,2015-10-26T00:00:00Z,1,3,1445852558871.jpg,1,7,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,02,218,"L02",1Mcd53U8Qb4,CHV9HvCv6n3,,2000-01-01 12:40:00 UTC,2015-05-11,VXXtPYtHb53,2015-05-12,YFPdkT7Y2y8,2015-10-22T00:00:00Z,1,3,1445516811510.jpg,1,7,,,
UGA,Africa Innovations Institude,33.2567780274687,2.45257755461486,03,329,"L07",kAym5mCCtcB,PCDmdpUyJ46,,2000-01-01 12:02:00 UTC,2015-09-18,VXXtPYtHb53,2015-09-19,YFPdkT7Y2y8,2016-01-16T00:00:00Z,1,3,1452939876445.jpg,1,10,,,
UGA,Africa Innovations Institude,31.7560832397785,1.87635436806258,04,409,"L06",Gr3yWAqnod7,jTzSsTBdbc9,,2000-01-01 11:13:00 UTC,2015-08-24,VXXtPYtHb53,2015-08-25,s8w1kT9jvY7,2016-01-14T00:00:00Z,1,3,1452735139534.jpg,2,,,,
UGA,Africa Innovations Institude,34.3568865263743,1.03690346284041,02,218,"L02",HWUQqfGSi37,9nAKvQierC9,,2000-01-01 12:30:00 UTC,2015-04-29,LPwMXECVXeB,2015-04-30,YFPdkT7Y2y8,2015-10-27T00:00:00Z,1,3,1448529814807.jpg,2,,,,
UGA,Africa Innovations Institude,32.1222569707067,0.203686999334623,01,119,"L03",4mjZfGs3Aw,d4xoNx6ycV8,,2000-01-01 13:01:00 UTC,2015-02-19,VXXtPYtHb53,2015-02-19,YFPdkT7Y2y8,2015-09-08T00:00:00Z,1,3,1441698363479.jpg,2,,,,
UGA,Africa Innovations Institude,29.7871381860837,-1.24177656546097,04,408,"L04",UYwovny68h,uxXYNY8gYn9,,2000-01-01 00:27:00 UTC,2016-03-22,VXXtPYtHb53,2016-03-25,s8w1kT9jvY7,2016-04-27T00:00:00Z,1,4,1461787621412.jpg,1,10,,,
