"","x"
"1","Country"
"2","Partner.Organization"
"3","longitude"
"4","latitude"
"5","Landscape.."
"6","Household.ID"
"7","Data.entry.date"
"8","Crop.ID"
"9","Crop.name"
"10","Season"
"11","Crop.type"
"12","Individual.ID"
"13","hh_indid_age"
"14","hh_indid_gender"
"15","hh_indid_respondent"
"16","Field.ID"
"17","Field.name"
"18","ag3a_02_1"
"19","ag3a_02_2"
"20","ag2a_vs_2b1"
"21","ag2a_vs_2b1_other"
"22","ag2a_vs_2b2_1"
"23","ag2a_vs_2c"
"24","ag2a_vs_2c_other"
"25","ag2a_vs_2d1"
"26","ag2a_04"
"27","ag2a_07"
"28","ag2a_08"
"29","ag2a_08_other"
"30","gps_coords"
"31","ag3a_02_2_1"
"32","ag2a_09"
"33","ag2a_vs_08a"
"34","ag2a_vs_8b"
"35","ag2a_vs_8c"
"36","ag3a_70_preparing"
"37","ag3a_70_weeding"
"38","ag3a_70_fertilizing"
"39","ag3a_70_harvesting"
"40","ag3a_02_3"
"41","ag3a_03"
"42","ag3a_03_other"
"43","ag3a_04"
"44","ag3a_05"
"45","ag3a_06"
"46","ag3a_07"
"47","ag3a_08_1"
"48","ag3a_08_2"
"49","ag3a_09"
"50","ag3a_10"
"51","ag3a_10_other"
"52","ag3a_11"
"53","ag3a_11_other"
"54","ag3a_12"
"55","ag3a_13"
"56","ag3a_14"
"57","ag3a_14_other"
"58","ag3a_15"
"59","ag3a_16"
"60","ag3f_33_17"
"61","ag3a_18"
"62","ag3a_18b"
"63","ag3a_18b_other"
"64","ag3a_18c"
"65","ag3a_18c_other"
"66","ag3a_19"
"67","ag3a_20"
"68","ag3a_21"
"69","ag3a_22"
"70","ag3a_23"
"71","ag3a_24"
"72","ag3a_24_other"
"73","ag3a_25"
"74","ag3a_26"
"75","ag3a_27"
"76","ag3a_28"
"77","ag3a_29"
"78","ag3a_29_other"
"79","ag3a_30"
"80","ag3a_31"
"81","ag3a_32"
"82","ag3a_33"
"83","ag3a_34"
"84","ag3a_34_other"
"85","ag3a_35_1"
"86","ag3a_35_2"
"87","ag3a_61"
"88","ag3a_38_1"
"89","ag3a_38_2"
"90","ag3a_38_21"
"91","ag3a_38_3"
"92","ag3a_38_4"
"93","ag3a_38_5"
"94","ag3a_38_51"
"95","ag3a_38_6"
"96","ag3a_38_61"
"97","ag3a_38_62"
"98","ag3a_38_63"
"99","ag3a_38_64"
"100","ag3a_38_7"
"101","ag3a_38_8"
"102","ag3a_38_81"
"103","ag3a_38_9"
"104","fd33_18a_1"
"105","fd33_18a_2"
"106","fd33_18a_3"
"107","fd33_18a_4"
"108","fd33_18a_5"
"109","fd33_18a_6"
"110","fd33_18a_7"
"111","fd33_18a_8"
"112","fd35_24a_dap"
"113","fd35_24a_urea"
"114","fd35_24a_tsp"
"115","fd35_24a_can"
"116","fd35_24a_sa"
"117","fd35_24a_npk"
"118","fd35_24a_mrp"
"119","fd3b3_18a_1"
"120","fd3b3_18a_2"
"121","fd3b3_18a_3"
"122","fd3b3_18a_4"
"123","fd3b3_18a_5"
"124","fd3b3_18a_6"
"125","fd3b3_18a_7"
"126","fd3b3_18a_8"
"127","fd3b5a_24a_dap"
"128","fd3b5a_24a_urea"
"129","fd3b5a_24a_tsp"
"130","fd3b5a_24a_can"
"131","fd3b5a_24a_sa"
"132","fd3b5a_24a_npk"
"133","fd3b5a_24a_mrp"
"134","ag4a_01"
"135","ag4a_02"
"136","ag4a_04"
"137","ag4a_05"
"138","ag4a_05_other"
"139","ag4a_vs_5a"
"140","ag4a_vs_5a_day"
"141","ag4a_vs_5a_month"
"142","ag4a_vs_5a_year"
"143","ag4a_06"
"144","ag4a_08"
"145","ag4a_15"
"146","ag4a_15_unit"
"147","ag4a_16"
"148","ag4a_19"
"149","ag4a_21"
"150","ag4a_23"
"151","ag6a_02"
"152","ag6a_05"
"153","ag6a_08_1"
"154","ag6a_08_2"
"155","ag6a_vs_09"
"156","ag10_vs_1"
"157","ag10_vs_2"
"158","ag10_vs_2_1"
"159","ag10_vs_2_2"
"160","ag10_vs_2_3"
"161","ag10_vs_2_4"
"162","ag10_vs_2_5"
"163","ag10_vs_2_6"
"164","ag10_vs_2_7"
"165","ag10_vs_2_8"
"166","ag10_vs_2_9"
"167","ag10_vs_2_50"
"168","ag10_vs_2_51"
"169","ag10_vs_2_other"
"170","ag10_vs_3"
"171","ag10_vs_3_other"
"172","ag5a_01"
"173","ag5a_02_1"
"174","ag5a_02_2"
"175","ag5a_03"
"176","ag5a_12_1"
"177","ag5a_20"
"178","ag5a_21"
"179","ag5a_21_other"
"180","ag5a_22"
"181","ag5a_24"
"182","ag5a_24_other"
"183","ag5a_25"
"184","ag5a_26"
"185","ag7a_02"
"186","ag7a_03_1"
"187","ag7a_03_2"
"188","ag7a_04"
"189","Is.Processed"
"190","Is.Byproduct"
"191","ag09_02_1"
"192","ag09_03"
"193","ag09_03_other"
"194","ag09_03_by"
"195","ag09_03_by_other"
"196","ag09_03_product_name"
"197","ag09_04_1"
"198","ag09_04_2"
"199","ag09_07"
"200","ag09_07_2"
"201","ag09_05"
"202","ag09_06_1"
"203","ag09_06_2"
"204","ag09_08"
"205","ag09_vs_8a"
"206","ag09_vs_8b_1"
"207","ag09_vs_8b_2"
"208","ag09_10"
"209","ag09_11"
"210","Item.code"
"211","Livestock.code"
"212","Animal.name"
"213","ag10a_05_1"
"214","ag10a_05_2"
"215","ag10a_05_3"
"216","ag10a_19"
"217","ag10a_20"
"218","ag10a_21"
"219","ag10a_24"
"220","ag10a_25"
"221","ag10a_26"
"222","ag10a_27"
"223","ag10a_33"
"224","ag10a_34"
"225","ag10a_vs_01"
"226","ag10a_vs_02"
"227","ag10a_vs_03"
"228","ag10a_vs_04"
"229","ag10b_01"
"230","ag10b_1a"
"231","ag10b_1a_unit"
"232","ag10b_1b"
"233","ag10b_05_1"
"234","ag10b_05_2"
"235","ag10b_06"
"236","Tool.name"
"237","ag11_01"
"238","ag11_07"
"239","source_id"
"240","source_name"
"241","sourceid"
"242","ag12a_02_1"
"243","ag12a_02_2"
"244","ag12a_02_3"
"245","ag12a_02_4"
"246","ag12a_02_5"
"247","ag12a_02_6"
"248","ag12a_03"
"249","ag12a_04"
"250","ag12a_05"
"251","source_id_family"
"252","source_name_family"
"253","ag12b_06"
"254","ag12b_08"
"255","ag12b_09"
"256","Region"
"257","District"
"258","Household.head.ID"
"259","Enumerator.ID"
"260","Time.interview.start"
"261","Date.of.interview"
"262","Supervisor.ID"
"263","Questionnaire.inspection.date"
"264","Clerk.ID"
"265","fr_01"
"266","fr2_10"
"267","fr_5"
"268","ag12b_vs_09a"
"269","ag12a_vs_10"
"270","ag12a_vs_10_other"
"271","End.Time"
"272","Survey.Instrument"
