"","x"
"1","Country"
"2","Partner.Organization"
"3","longitude"
"4","latitude"
"5","Landscape.."
"6","Household.ID"
"7","Data.entry.date"
"8","Individual.ID"
"9","hh_b02"
"10","hh_b05"
"11","hh_b03"
"12","hh_b04"
"13","hh_b07"
"14","hh_b08"
"15","hh_c01"
"16","hh_c02"
"17","hh_c03"
"18","hh_c07"
"19","hh_e04"
"20","hh_e06"
"21","hh_e08"
"22","hh_e22_1"
"23","hh_e22_2"
"24","hh_e23"
"25","hh_e24_1"
"26","hh_e24_2"
"27","hh_e25"
"28","hh_e26"
"29","hh_e27"
"30","hh_e28"
"31","hh_e51"
"32","hh_e52"
"33","hh_e64_1"
"34","hh_e64_2"
"35","hh_e65_1"
"36","hh_e65_2"
"37","hh_hv103"
"38","hh_hv104"
"39","hh_hv105"
"40","hh_hv105_other"
"41","hh_hv105_unit"
"42","hh_hv105a"
"43","u1_01"
"44","u2_01"
"45","u3_01"
"46","u4_01"
"47","u5_01"
"48","u6_01"
"49","u7_01"
"50","u7_01_other"
"51","Region"
"52","District"
"53","Clerk.ID"
"54","clerk_code"
"55","data_clerk_code_2"
"56","data_entry_date_2"
"57","Questionnaire.inspection.date"
"58","Supervisor.ID"
"59","supervisor_code"
"60","Household.head.ID"
"61","Interview.Date"
"62","Interview.Time"
"63","Observations"
"64","Survey.Instrument"
"65","Finish.Time"
"66","Number.Refused"
"67","hh_hv105b_01"
"68","hh_hv105c_01"
"69","hh_hv106_01"
"70","hh_hv109_01"
"71","hh_hv109a_01"
"72","hh_hv109b_01"
"73","hh_hv109c_01"
"74","hh_hv109c_01_1"
"75","hh_hv109c_01_2"
"76","hh_hv109c_01_3"
"77","hh_hv109c_01_4"
"78","hh_hv109c_01_5"
"79","hh_hv109c_01_6"
"80","hh_hv109c_01_7"
"81","hh_hv109c_01_8"
"82","hh_hv109c_01_9"
"83","hh_hv109c_01_10"
"84","hh_hv109c_01_11"
"85","hh_hv109c_01_12"
"86","hv2_10_01"
"87","hv2_10_02"
"88","hv2_10_03"
"89","hv2_10_04"
"90","hv2_10_05"
"91","hv2_10_06"
"92","hv2_10_07"
"93","hv2_10_08"
"94","hv2_10_09"
"95","hv2_10_09_oth"
"96","hv2_11_01"
"97","hv2_12_01"
"98","hv2_13_01"
"99","hv2_14_01"
"100","hv2_15_01"
"101","hv2_11_02"
"102","hv2_12_02"
"103","hv2_13_02"
"104","hv2_14_02"
"105","hv2_15_02"
"106","hv2_11_03"
"107","hv2_12_03"
"108","hv2_13_03"
"109","hv2_14_03"
"110","hv2_15_03"
"111","hv2_11_04"
"112","hv2_12_04"
"113","hv2_13_04"
"114","hv2_14_04"
"115","hv2_15_04"
"116","hv2_11_05"
"117","hv2_12_05"
"118","hv2_13_05"
"119","hv2_14_05"
"120","hv2_15_05"
"121","hv2_11_06"
"122","hv2_12_06"
"123","hv2_13_06"
"124","hv2_14_06"
"125","hv2_15_06"
"126","hv2_11_07"
"127","hv2_12_07"
"128","hv2_13_07"
"129","hv2_14_07"
"130","hv2_15_07"
"131","hv2_11_08"
"132","hv2_12_08"
"133","hv2_13_08"
"134","hv2_14_08"
"135","hv2_15_08"
"136","hv2_11_09"
"137","hv2_12_09"
"138","hv2_13_09"
"139","hv2_14_09"
"140","hv2_15_09"
"141","hh_i01"
"142","hh_i02_1"
"143","hh_i02_2"
"144","hh_i02_3"
"145","hh_i02_4"
"146","hh_i02_5"
"147","hh_i02_6"
"148","hh_i02_7"
"149","hh_i02_8"
"150","hh_i031"
"151","hh_i032"
"152","hh_i04_1"
"153","hh_i04_1_other"
"154","hh_i04_2"
"155","hh_i04_2_other"
"156","hh_i04_3"
"157","hh_i04_3_other"
"158","hh_i05"
"159","hh_i05_other"
"160","hh_i05_2"
"161","hh_i05_2_other"
"162","hh_i06"
"163","hh_i07_1"
"164","hh_i07_2"
"165","hh_i07_3"
"166","hh_i08"
"167","hh_i09_2012"
"168","hh_i09_2012_1"
"169","hh_i09_2012_2"
"170","hh_i09_2012_3"
"171","hh_i09_2012_4"
"172","hh_i09_2012_5"
"173","hh_i09_2012_6"
"174","hh_i09_2012_7"
"175","hh_i09_2012_8"
"176","hh_i09_2012_9"
"177","hh_i09_2012_10"
"178","hh_i09_2012_11"
"179","hh_i09_2012_12"
"180","hh_i09_2013"
"181","hh_i09_2013_1"
"182","hh_i09_2013_2"
"183","hh_i09_2013_3"
"184","hh_i09_2013_4"
"185","hh_i09_2013_5"
"186","hh_i09_2013_6"
"187","hh_i09_2013_7"
"188","hh_i09_2013_8"
"189","hh_i09_2013_9"
"190","hh_i09_2013_10"
"191","hh_i09_2013_11"
"192","hh_i09_2013_12"
"193","hh_i10_1"
"194","hh_i10_2"
"195","hh_i10_3"
"196","hh_i10_1oth"
"197","hh_i10_2oth"
"198","hh_i10_3oth"
"199","hh_j01"
"200","hh_j02"
"201","hh_j02oth"
"202","hh_j03"
"203","hh_j04_1"
"204","hh_j04_2"
"205","hh_j05"
"206","hh_j05_other"
"207","hh_j06"
"208","hh_j06_other"
"209","hh_j07"
"210","hh_j07_other"
"211","hh_j08"
"212","hh_j08_other"
"213","hh_j09"
"214","hh_j09_other"
"215","hh_j10"
"216","hh_j11"
"217","hh_j11_other"
"218","hh_j12"
"219","hh_j12_other"
"220","hh_j13"
"221","hh_j13_other"
"222","hh_j14"
"223","hh_j14_oth"
"224","hh_j15"
"225","hh_j15_oth"
"226","hh_j16_1"
"227","hh_j16_2"
"228","hh_j16_1oth"
"229","hh_j16_2oth"
"230","hh_j17_1"
"231","hh_j17_2"
"232","hh_j17_1oth"
"233","hh_j17_2oth"
"234","hh_j18_1"
"235","hh_j18_2"
"236","hh_j18_1oth"
"237","hh_j18_2oth"
"238","hh_j19_1"
"239","hh_j19_2"
"240","hh_j19_1oth"
"241","hh_j19_2oth"
"242","hh_j20"
"243","j20b_02"
"244","j20c_02"
"245","j20c_02_1"
"246","j20c_02_2"
"247","j20c_02_3"
"248","j20c_02_4"
"249","j20c_02_5"
"250","j20c_02_6"
"251","j20c_02_7"
"252","j20c_02_8"
"253","j20c_02_9"
"254","j20c_02_10"
"255","j20c_02_11"
"256","j20c_02_12"
"257","j22_02"
"258","j22_02_other"
"259","j23_02_1"
"260","j23_02_2"
"261","j24_02"
"262","j22_03"
"263","j22_03_other"
"264","j23_03_1"
"265","j23_03_2"
"266","j24_03"
"267","j22_04"
"268","j22_04_other"
"269","j23_04_1"
"270","j23_04_2"
"271","j24_04"
"272","j22_05"
"273","j22_05_other"
"274","j23_05_1"
"275","j23_05_2"
"276","j24_05"
"277","j22_06"
"278","j22_06_other"
"279","j23_06_1"
"280","j23_06_2"
"281","j24_06"
"282","j22_07"
"283","j22_07_other"
"284","j23_07_1"
"285","j23_07_2"
"286","j24_07"
"287","j22_08"
"288","j22_08_other"
"289","j23_08_1"
"290","j23_08_2"
"291","j24_08"
"292","j22_09"
"293","j22_09_other"
"294","j23_09_1"
"295","j23_09_2"
"296","j24_09"
"297","j22_10"
"298","j22_10_other"
"299","j23_10_1"
"300","j23_10_2"
"301","j24_10"
"302","j22_11"
"303","j22_11_other"
"304","j23_11_1"
"305","j23_11_2"
"306","j24_11"
"307","j22_12"
"308","j22_12_other"
"309","j23_12_1"
"310","j23_12_2"
"311","j24_12"
"312","j22_13"
"313","j22_13_other"
"314","j22_14"
"315","j22_14_other"
"316","j23_14_1"
"317","j23_14_2"
"318","j24_14"
"319","k_02_1"
"320","k_02_2"
"321","k_03_1"
"322","k_03_2"
"323","k_04"
"324","k_05_1"
"325","k_05_2"
"326","k_05a"
"327","k_06_1"
"328","k_06_2"
"329","k_item"
"330","k_item_code"
"331","k_item_other"
"332","k2_8_a"
"333","k2_8_b"
"334","k2_8_c"
"335","k2_8_d"
"336","k2_8_e"
"337","k2_8_f"
"338","k2_8_g"
"339","k2_8_h"
"340","k2_8_i"
"341","k2_8_j"
"342","k2_9"
"343","k2_10_a"
"344","k2_11_a"
"345","k2_10_b"
"346","k2_11_b"
"347","k2_10_c"
"348","k2_11_c"
"349","k2_10_d"
"350","k2_11_d"
"351","l_101_1"
"352","l_101_2"
"353","l_102_1"
"354","l_102_2"
"355","l_103_1"
"356","l_103_2"
"357","l_199_1"
"358","l_199_2"
"359","l_201_1"
"360","l_201_2"
"361","l_202_1"
"362","l_202_2"
"363","l_203_1"
"364","l_203_2"
"365","l_203a_1"
"366","l_203a_2"
"367","l_203b_1"
"368","l_203b_2"
"369","l_204_1"
"370","l_204_2"
"371","l_205_1"
"372","l_205_2"
"373","l_206_1"
"374","l_206_2"
"375","l_207_1"
"376","l_207_2"
"377","l_207a_1"
"378","l_207a_2"
"379","l_208_1"
"380","l_208_2"
"381","l_209_1"
"382","l_209_2"
"383","l_211_1"
"384","l_211_2"
"385","l_212_1"
"386","l_212_2"
"387","l_213_1"
"388","l_213_2"
