country,landscape_no,description,lower_right_latitude,lower_right_longitude,lower_left_latitude,lower_left_longitude,upper_left_latitude,upper_left_longitude,upper_right_latitude,upper_right_longitude,centerpoint_longitude,centerpoint_latitude
GHA,L01,Sudan Savannah,10.51379585,-0.789323807,10.51379585,-0.880674362,10.60420418,-0.880674362,10.60420418,-0.789323807,-0.834999084,10.55900002
GHA,L02,Guinea Savannah,9.858797073,-0.808917999,9.858797073,-0.900081635,9.949205399,-0.900081635,9.949205399,-0.808917999,-0.854499817,9.904001236
GHA,L03,Transitional Zone,7.663789749,-0.83568573,7.663789749,-0.9263134,7.754209518,-0.9263134,7.754209518,-0.83568573,-0.880999565,7.708999634
GHA,L04,Semi-Deciduous Forest,6.506788254,-1.448799133,6.506788254,-1.539199829,6.597211838,-1.539199829,6.597211838,-1.448799133,-1.493999481,6.552000046
GHA,L05,Rain Forest,5.04728508,-2.532915115,5.04728508,-2.623083115,5.137716293,-2.623083115,5.137716293,-2.532915115,-2.577999115,5.092500687
GHA,L06,Coastal Savannah,5.682786942,-0.465568542,5.682786942,-0.555830002,5.77321434,-0.555830002,5.77321434,-0.465568542,-0.510699272,5.728000641
TZA,L02,Sumbawanga Cluster,-7.724610156,31.60069567,-7.724610156,31.51086414,-7.634995119,31.51086414,-7.634995119,31.60069567,31.5557799,-7.679802637
TZA,L03,Sumbawanga Cluster,-7.980799454,31.75897021,-7.980799454,31.66913868,-7.891240073,31.66913868,-7.891240073,31.75897021,31.71405444,-7.936019763
TZA,L10,Ihemi Cluster - Mufindi,-8.583824021,34.89305801,-8.583824021,34.80322648,-8.494402801,34.80322648,-8.494402801,34.89305801,34.84814224,-8.539113411
TZA,L11,Ludewa Cluster,-10.11193437,34.70624432,-10.11193437,34.61641279,-10.02290813,34.61641279,-10.02290813,34.70624432,34.66132855,-10.06742125
TZA,L18,Ihemi Cluster - Kilolo,-7.579658204,36.4912918,-7.579658204,36.40146027,-7.49001248,36.40146027,-7.49001248,36.4912918,36.44637604,-7.534835342
TZA,L19,Kilombero Cluster,-8.142392522,36.56788078,-8.142392522,36.47804925,-8.05286918,36.47804925,-8.05286918,36.56788078,36.52296501,-8.097630851
TZA,L20,Mbarali Cluster,-8.648839773,34.36214468,-8.648839773,34.27131685,-8.558423118,34.27131685,-8.558423118,34.36214468,34.31673077,-8.603631446
TZA,L21,,,,,,,,,,,
TZA,L22,Rufiji Cluster,-8.189419549,38.79456852,-8.189419549,38.70384942,-8.098969335,38.70384942,-8.098969335,38.79456852,38.74920897,-8.144194442
UGA,L01,West Nile,3.538761656,31.24261594,3.538761656,31.15243237,3.629359651,31.15243237,3.629359651,31.24261594,31.19752676,3.584060279
UGA,L02,Eastern,0.991660414,34.40184187,0.991660414,34.31193317,1.082147969,34.31193317,1.082147969,34.40184187,34.35688653,1.036903463
UGA,L03,Central,0.158454066,32.16718782,0.158454066,32.0773255,0.248920941,32.0773255,0.248920941,32.16718782,32.12225697,0.203686999
UGA,L04,South West,-1.286997574,29.83206426,-1.286997574,29.74220928,-1.196559044,29.74220928,-1.196559044,29.83206426,29.78713819,-1.241776565
UGA,L06,Mid-western,1.831092765,31.80106619,1.831092765,31.7110974,1.92161699,31.7110974,1.92161699,31.80106619,31.75608324,1.876354368
UGA,L07,Northern,2.407363773,33.30172693,2.407363773,33.21182912,2.497791337,33.21182912,2.497791337,33.30172693,33.25677803,2.452577555
RWA,L01,Nyungwe Landscape,-2.621071577,29.47978443,-2.621071577,29.38973667,-2.530509799,29.38973667,-2.530509799,29.47978443,29.43475847,-2.575789702
RWA,L02,Volcanoes Landscape,-1.525747912,29.5958171,-1.525747912,29.50590611,-1.435261627,29.50590611,-1.435261627,29.5958171,29.55086017,-1.480503487
RWA,L03,Akagera Landscape,-1.979505964,30.72321686,-1.979505964,30.63329814,-1.889031144,30.63329814,-1.889031144,30.72321686,30.67825559,-1.934266644
RWA,L04,Gishwati Landscape,-1.854529515,29.42976285,-1.854529515,29.33981111,-1.764017338,29.33981111,-1.764017338,29.42976285,29.38478538,-1.809272314
RWA,L06,Muhanga-Kamonyi Landscape,-2.022516511,29.83785414,-2.022516511,29.74788982,-1.932000569,29.74788982,-1.932000569,29.83785414,29.7928702,-1.977257209
RWA,L07,Bugesera Landscape,-2.33244733,30.06376219,-2.33244733,29.97379054,-2.241924883,29.97379054,-2.241924883,30.06376219,30.01877463,-2.287184955
KEN,L01,Yala Swamp,0.082561616,34.15838295,0.082561616,34.06856895,0.172998559,34.06856895,0.172998559,34.15838295,34.11347595,0.127780087
KEN,L02,Amboseli,-2.543822491,37.34174923,-2.543822491,37.2518505,-2.453387269,37.2518505,-2.453387269,37.34174923,37.29679986,-2.49860488
KEN,L03,Aberdares,-0.494267974,36.87814521,-0.494267974,36.78825361,-0.403857912,36.78825361,-0.403857912,36.87814521,36.83319941,-0.449062942
KEN,L04,Tana River Delta,-2.592340342,40.13918331,-2.592340342,40.04928125,-2.501905188,40.04928125,-2.501905188,40.13918331,40.09423228,-2.547122765
KEN,L05,Lodwar,3.329405564,35.70087942,3.329405564,35.6109106,3.419839365,35.6109106,3.419839365,35.70087942,35.65589501,3.374622465
KEN,L06,Isiolo,0.629890813,37.69805692,0.629890813,37.60823694,0.720327634,37.60823694,0.720327634,37.69805692,37.65314693,0.675109223
